GL172637	GL172637.1
GL172638	GL172638.1
GL172639	GL172639.1
GL172640	GL172640.1
GL172641	GL172641.1
GL172642	GL172642.1
GL172643	GL172643.1
GL172644	GL172644.1
GL172645	GL172645.1
GL172646	GL172646.1
GL172647	GL172647.1
GL172648	GL172648.1
GL172649	GL172649.1
GL172650	GL172650.1
GL172651	GL172651.1
GL172652	GL172652.1
GL172653	GL172653.1
GL172654	GL172654.1
GL172655	GL172655.1
GL172656	GL172656.1
GL172657	GL172657.1
GL172658	GL172658.1
GL172659	GL172659.1
GL172660	GL172660.1
GL172661	GL172661.1
GL172662	GL172662.1
GL172663	GL172663.1
GL172664	GL172664.1
GL172665	GL172665.1
GL172666	GL172666.1
GL172667	GL172667.1
GL172668	GL172668.1
GL172669	GL172669.1
GL172670	GL172670.1
GL172671	GL172671.1
GL172672	GL172672.1
GL172673	GL172673.1
GL172674	GL172674.1
GL172675	GL172675.1
GL172676	GL172676.1
GL172677	GL172677.1
GL172678	GL172678.1
GL172679	GL172679.1
GL172680	GL172680.1
GL172681	GL172681.1
GL172682	GL172682.1
GL172683	GL172683.1
GL172684	GL172684.1
GL172685	GL172685.1
GL172686	GL172686.1
GL172687	GL172687.1
GL172688	GL172688.1
GL172689	GL172689.1
GL172690	GL172690.1
GL172691	GL172691.1
GL172692	GL172692.1
GL172693	GL172693.1
GL172694	GL172694.1
GL172695	GL172695.1
GL172696	GL172696.1
GL172697	GL172697.1
GL172698	GL172698.1
GL172699	GL172699.1
GL172700	GL172700.1
GL172701	GL172701.1
GL172702	GL172702.1
GL172703	GL172703.1
GL172704	GL172704.1
GL172705	GL172705.1
GL172706	GL172706.1
GL172707	GL172707.1
GL172708	GL172708.1
GL172709	GL172709.1
GL172710	GL172710.1
GL172711	GL172711.1
GL172712	GL172712.1
GL172713	GL172713.1
GL172714	GL172714.1
GL172715	GL172715.1
GL172716	GL172716.1
GL172717	GL172717.1
GL172718	GL172718.1
GL172719	GL172719.1
GL172720	GL172720.1
GL172721	GL172721.1
GL172722	GL172722.1
GL172723	GL172723.1
GL172724	GL172724.1
GL172725	GL172725.1
GL172726	GL172726.1
GL172727	GL172727.1
GL172728	GL172728.1
