NC_000001.10	chr1
NC_000002.11	chr2
NC_000003.11	chr3
NC_000004.11	chr4
NC_000005.9	chr5
NC_000006.11	chr6
NC_000007.13	chr7
NC_000008.10	chr8
NC_000009.11	chr9
NC_000010.10	chr10
NC_000011.9	chr11
NC_000012.11	chr12
NC_000013.10	chr13
NC_000014.8	chr14
NC_000015.9	chr15
NC_000016.9	chr16
NC_000017.10	chr17
NC_000018.9	chr18
NC_000019.9	chr19
NC_000020.10	chr20
NC_000021.8	chr21
NC_000022.10	chr22
NC_000023.10	chrX
NC_000024.9	chrY
NT_113878.1	chr1_gl000191_random
NT_167207.1	chr1_gl000192_random
NT_113885.1	chr4_gl000193_random
NT_113888.1	chr4_gl000194_random
NT_113901.1	chr7_gl000195_random
NT_113909.1	chr8_gl000196_random
NT_113907.1	chr8_gl000197_random
NT_113914.1	chr9_gl000198_random
NT_113916.2	chr9_gl000199_random
NT_113915.1	chr9_gl000200_random
NT_113911.1	chr9_gl000201_random
NT_113921.2	chr11_gl000202_random
NT_113941.1	chr17_gl000203_random
NT_113943.1	chr17_gl000204_random
NT_113930.1	chr17_gl000205_random
NT_113945.1	chr17_gl000206_random
NT_113947.1	chr18_gl000207_random
NT_113948.1	chr19_gl000208_random
NT_113949.1	chr19_gl000209_random
NT_113950.2	chr21_gl000210_random
NT_113961.1	chrUn_gl000211
NT_113923.1	chrUn_gl000212
NT_167208.1	chrUn_gl000213
NT_167209.1	chrUn_gl000214
NT_167210.1	chrUn_gl000215
NT_167211.1	chrUn_gl000216
NT_167212.1	chrUn_gl000217
NT_113889.1	chrUn_gl000218
NT_167213.1	chrUn_gl000219
NT_167214.1	chrUn_gl000220
NT_167215.1	chrUn_gl000221
NT_167216.1	chrUn_gl000222
NT_167217.1	chrUn_gl000223
NT_167218.1	chrUn_gl000224
NT_167219.1	chrUn_gl000225
NT_167220.1	chrUn_gl000226
NT_167221.1	chrUn_gl000227
NT_167222.1	chrUn_gl000228
NT_167223.1	chrUn_gl000229
NT_167224.1	chrUn_gl000230
NT_167225.1	chrUn_gl000231
NT_167226.1	chrUn_gl000232
NT_167227.1	chrUn_gl000233
NT_167228.1	chrUn_gl000234
NT_167229.1	chrUn_gl000235
NT_167230.1	chrUn_gl000236
NT_167231.1	chrUn_gl000237
NT_167232.1	chrUn_gl000238
NT_167233.1	chrUn_gl000239
NT_167234.1	chrUn_gl000240
NT_167235.1	chrUn_gl000241
NT_167236.1	chrUn_gl000242
NT_167237.1	chrUn_gl000243
NT_167238.1	chrUn_gl000244
NT_167239.1	chrUn_gl000245
NT_167240.1	chrUn_gl000246
NT_167241.1	chrUn_gl000247
NT_167242.1	chrUn_gl000248
NT_167243.1	chrUn_gl000249
NW_003571030.1	
NW_003871055.3	
NW_003871056.3	
NW_004070864.2	
NW_003315905.1	
NW_003315906.1	
NW_003315907.1	
NW_003315903.1	
NW_003315904.1	
NW_003871057.1	
NW_004070863.1	
NW_004070865.1	
NW_003315908.1	
NW_003571032.1	
NW_004504299.1	
NW_003315909.1	
NW_003571033.2	
NW_003571031.1	
NW_003871060.1	
NW_003315910.1	
NW_003315911.1	
NW_003315912.1	
NW_003871058.1	
NW_003871059.1	
NW_004775426.1	
NW_003315913.1	
NW_004775427.1	
NW_003315915.1	
NW_003315916.1	
NW_003571035.1	
NW_003315914.1	
NW_003571034.1	
NW_003315917.2	
NW_003315918.1	
NW_003315920.1	
NW_003571036.1	
NW_003871061.1	
NW_004775428.1	
NW_003315919.1	
NW_003871063.1	
NW_004070866.1	
NW_003315921.1	
NW_003871062.1	
NW_004504300.1	
NW_004775429.1	
NW_004166862.1	
NW_003571037.1	
NW_003571038.1	
NW_003571039.1	
NW_003571041.1	
NW_003871064.1	
NW_003871065.1	
NW_004775430.1	
NW_003315922.2	
NW_003571040.1	
NW_003315923.1	
NW_003315924.1	
NW_003571042.1	
NW_003871066.2	
NW_004775431.1	
NW_003315928.1	
NW_003871067.1	
NW_003315929.1	
NW_003315930.1	
NW_003315931.1	
NW_003315925.1	
NW_003315926.1	
NW_003315927.1	
NW_004070867.1	
NW_004070868.1	
NW_004070869.1	
NW_004504301.1	
NW_003315932.1	
NW_003571043.1	
NW_003871071.1	
NW_003315934.1	
NW_003315935.1	
NW_003315933.1	
NW_003871068.1	
NW_003871069.1	
NW_003871070.1	
NW_004070870.1	
NW_004504302.1	
NW_004775432.1	
NW_003871075.1	
NW_003871082.1	
NW_003315936.1	
NW_003571045.1	
NW_003871073.1	
NW_003871074.1	
NW_003571046.1	
NW_003871076.1	
NW_003871077.1	
NW_003871078.1	
NW_003871079.1	
NW_003871080.1	
NW_003871081.1	
NW_003871072.2	
NW_004070871.1	
NW_003571048.1	
NW_003571049.1	
NW_003871083.2	
NW_003315938.1	
NW_003315939.1	
NW_003315941.1	
NW_003315942.2	
NW_003571050.1	
NW_003571047.1	
NW_004504303.2	
NW_003315940.1	
NW_003315937.1	
NW_003571051.1	
NW_004166863.1	
NW_003315943.1	
NW_003315944.1	
NW_003871084.1	
NW_003315945.1	
NW_003871085.1	
NW_003315946.1	
NW_004070872.2	
NW_003315952.2	
NW_003315948.2	
NW_003315949.1	
NW_003315950.2	
NW_003315951.1	
NW_003871090.1	
NW_004166864.2	
NW_004775433.1	
NW_003315953.1	
NW_003871091.1	
NW_003871092.1	
NW_003871093.1	
NW_003315947.1	
NW_003571052.1	
NW_003871088.1	
NW_003871086.1	
NW_003315954.1	
NW_003315955.1	
NW_003871089.1	
NW_003871087.1	
NW_003315956.1	
NW_003315957.1	
NW_003315958.1	
NW_003315959.1	
NW_003315960.1	
NW_003315961.1	
NW_003571053.2	
NW_003871094.1	
NW_003315962.1	
NW_003315963.1	
NW_003315964.2	
NW_003315965.1	
NW_004166865.1	
NW_004775434.1	
NW_003571054.1	
NW_003571055.1	
NW_003571056.1	
NW_003571057.1	
NW_003571058.1	
NW_003571059.1	
NW_003571060.1	
NW_003571061.1	
NW_003315966.1	
NW_003571063.2	
NW_003871095.1	
NW_004504304.1	
NW_003315967.1	
NW_003315968.1	
NW_003315969.1	
NW_003315970.1	
NW_004775435.1	
NW_003871096.1	
NW_004070873.1	
NW_004070874.1	
NW_004070875.1	
NW_003315971.2	
NW_003315972.1	
NW_004504305.1	
NW_004070876.1	
NW_003571064.2	
NW_003871103.3	
NW_003871098.1	
NW_003871099.1	
NW_003871100.1	
NW_003871101.3	
NW_003871102.1	
NW_004070877.1	
NW_004070878.1	
NW_004070879.1	
NW_004070880.2	
NW_004070881.1	
NW_004070882.1	
NW_004070883.1	
NW_004070884.1	
NW_004070885.1	
NW_004070886.1	
NW_004070887.1	
NW_004070888.1	
NW_004070889.1	
NW_004070890.2	
NW_004070891.1	
NW_004070892.1	
NW_004070893.1	
NW_004166866.1	
NT_167244.1	chr6_apd_hap1
NT_113891.2	chr6_cox_hap2
NT_167245.1	chr6_dbb_hap3
NT_167246.1	chr6_mann_hap4
NT_167247.1	chr6_mcf_hap5
NT_167248.1	chr6_qbl_hap6
NT_167249.1	chr6_ssto_hap7
NT_167250.1	chr4_ctg9_hap1
NT_167251.1	chr17_ctg5_hap1
NC_012920.1	chrM
