1	chr1
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
2	chr2
20	chr20
21	chr21
22	chr22
23	chr23
24	chr24
25	chr25
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
MT	chrM
KN147552.2	chrUn_KN147552v2
KN147632.2	chrUn_KN147632v2
KN147636.1	chrUn_KN147636v1
KN147637.2	chrUn_KN147637v2
KN147642.2	chrUn_KN147642v2
KN147651.2	chrUn_KN147651v2
KN147652.2	chrUn_KN147652v2
KN148038.2	chrUn_KN148038v2
KN148828.2	chrUn_KN148828v2
KN148869.2	chrUn_KN148869v2
KN149680.1	chrUn_KN149680v1
KN149682.1	chrUn_KN149682v1
KN149683.1	chrUn_KN149683v1
KN149684.1	chrUn_KN149684v1
KN149685.1	chrUn_KN149685v1
KN149686.1	chrUn_KN149686v1
KN149687.1	chrUn_KN149687v1
KN149688.2	chrUn_KN149688v2
KN149689.2	chrUn_KN149689v2
KN149690.1	chrUn_KN149690v1
KN149691.1	chrUn_KN149691v1
KN149692.1	chrUn_KN149692v1
KN149693.1	chrUn_KN149693v1
KN149694.1	chrUn_KN149694v1
KN149695.1	chrUn_KN149695v1
KN149696.2	chrUn_KN149696v2
KN149697.1	chrUn_KN149697v1
KN149698.1	chrUn_KN149698v1
KN149700.1	chrUn_KN149700v1
KN149701.1	chrUn_KN149701v1
KN149702.1	chrUn_KN149702v1
KN149703.1	chrUn_KN149703v1
KN149705.1	chrUn_KN149705v1
KN149706.1	chrUn_KN149706v1
KN149707.2	chrUn_KN149707v2
KN149708.1	chrUn_KN149708v1
KN149709.1	chrUn_KN149709v1
KN149710.1	chrUn_KN149710v1
KN149711.1	chrUn_KN149711v1
KN149713.1	chrUn_KN149713v1
KN149714.1	chrUn_KN149714v1
KN149715.1	chrUn_KN149715v1
KN149716.1	chrUn_KN149716v1
KN149717.1	chrUn_KN149717v1
KN149718.1	chrUn_KN149718v1
KN149719.1	chrUn_KN149719v1
KN149720.1	chrUn_KN149720v1
KN149721.1	chrUn_KN149721v1
KN149722.1	chrUn_KN149722v1
KN149723.1	chrUn_KN149723v1
KN149724.1	chrUn_KN149724v1
KN149725.1	chrUn_KN149725v1
KN149727.1	chrUn_KN149727v1
KN149728.1	chrUn_KN149728v1
KN149729.1	chrUn_KN149729v1
KN149730.1	chrUn_KN149730v1
KN149732.1	chrUn_KN149732v1
KN149733.1	chrUn_KN149733v1
KN149735.1	chrUn_KN149735v1
KN149737.1	chrUn_KN149737v1
KN149738.1	chrUn_KN149738v1
KN149739.1	chrUn_KN149739v1
KN149740.1	chrUn_KN149740v1
KN149741.1	chrUn_KN149741v1
KN149742.1	chrUn_KN149742v1
KN149743.1	chrUn_KN149743v1
KN149745.1	chrUn_KN149745v1
KN149746.1	chrUn_KN149746v1
KN149747.1	chrUn_KN149747v1
KN149748.1	chrUn_KN149748v1
KN149749.1	chrUn_KN149749v1
KN149750.1	chrUn_KN149750v1
KN149751.1	chrUn_KN149751v1
KN149753.1	chrUn_KN149753v1
KN149754.1	chrUn_KN149754v1
KN149755.1	chrUn_KN149755v1
KN149756.1	chrUn_KN149756v1
KN149757.1	chrUn_KN149757v1
KN149758.1	chrUn_KN149758v1
KN149760.1	chrUn_KN149760v1
KN149761.1	chrUn_KN149761v1
KN149762.1	chrUn_KN149762v1
KN149763.1	chrUn_KN149763v1
KN149764.1	chrUn_KN149764v1
KN149765.1	chrUn_KN149765v1
KN149766.1	chrUn_KN149766v1
KN149767.1	chrUn_KN149767v1
KN149768.1	chrUn_KN149768v1
KN149769.1	chrUn_KN149769v1
KN149770.1	chrUn_KN149770v1
KN149771.1	chrUn_KN149771v1
KN149772.1	chrUn_KN149772v1
KN149774.1	chrUn_KN149774v1
KN149775.2	chrUn_KN149775v2
KN149777.1	chrUn_KN149777v1
KN149778.1	chrUn_KN149778v1
KN149779.1	chrUn_KN149779v1
KN149780.1	chrUn_KN149780v1
KN149782.1	chrUn_KN149782v1
KN149783.1	chrUn_KN149783v1
KN149784.1	chrUn_KN149784v1
KN149785.1	chrUn_KN149785v1
KN149786.1	chrUn_KN149786v1
KN149787.1	chrUn_KN149787v1
KN149788.1	chrUn_KN149788v1
KN149789.1	chrUn_KN149789v1
KN149790.1	chrUn_KN149790v1
KN149791.1	chrUn_KN149791v1
KN149792.1	chrUn_KN149792v1
KN149793.1	chrUn_KN149793v1
KN149794.1	chrUn_KN149794v1
KN149795.1	chrUn_KN149795v1
KN149796.1	chrUn_KN149796v1
KN149797.1	chrUn_KN149797v1
KN149798.1	chrUn_KN149798v1
KN149800.1	chrUn_KN149800v1
KN149801.1	chrUn_KN149801v1
KN149803.1	chrUn_KN149803v1
KN149804.1	chrUn_KN149804v1
KN149805.1	chrUn_KN149805v1
KN149806.1	chrUn_KN149806v1
KN149807.1	chrUn_KN149807v1
KN149809.1	chrUn_KN149809v1
KN149810.1	chrUn_KN149810v1
KN149811.1	chrUn_KN149811v1
KN149812.1	chrUn_KN149812v1
KN149813.1	chrUn_KN149813v1
KN149814.1	chrUn_KN149814v1
KN149815.1	chrUn_KN149815v1
KN149816.1	chrUn_KN149816v1
KN149817.1	chrUn_KN149817v1
KN149818.1	chrUn_KN149818v1
KN149819.1	chrUn_KN149819v1
KN149822.1	chrUn_KN149822v1
KN149823.1	chrUn_KN149823v1
KN149824.1	chrUn_KN149824v1
KN149825.1	chrUn_KN149825v1
KN149826.1	chrUn_KN149826v1
KN149827.1	chrUn_KN149827v1
KN149828.1	chrUn_KN149828v1
KN149829.1	chrUn_KN149829v1
KN149832.1	chrUn_KN149832v1
KN149834.1	chrUn_KN149834v1
KN149835.1	chrUn_KN149835v1
KN149836.1	chrUn_KN149836v1
KN149837.1	chrUn_KN149837v1
KN149838.1	chrUn_KN149838v1
KN149839.1	chrUn_KN149839v1
