GL456210.1	chr1_GL456210_random
GL456211.1	chr1_GL456211_random
GL456212.1	chr1_GL456212_random
GL456213.1	chr1_GL456213_random
GL456216.1	chr4_GL456216_random
GL456219.1	chr7_GL456219_random
GL456221.1	chr1_GL456221_random
GL456233.1	chrX_GL456233_random
GL456239.1	chrUn_GL456239
GL456350.1	chr4_GL456350_random
GL456354.1	chr5_GL456354_random
GL456359.1	chrUn_GL456359
GL456360.1	chrUn_GL456360
GL456366.1	chrUn_GL456366
GL456367.1	chrUn_GL456367
GL456368.1	chrUn_GL456368
GL456370.1	chrUn_GL456370
GL456372.1	chrUn_GL456372
GL456378.1	chrUn_GL456378
GL456379.1	chrUn_GL456379
GL456381.1	chrUn_GL456381
GL456382.1	chrUn_GL456382
GL456383.1	chrUn_GL456383
GL456385.1	chrUn_GL456385
GL456387.1	chrUn_GL456387
GL456389.1	chrUn_GL456389
GL456390.1	chrUn_GL456390
GL456392.1	chrUn_GL456392
GL456393.1	chrUn_GL456393
GL456394.1	chrUn_GL456394
GL456396.1	chrUn_GL456396
JH584292.1	chr4_JH584292_random
JH584293.1	chr4_JH584293_random
JH584294.1	chr4_JH584294_random
JH584295.1	chr4_JH584295_random
JH584296.1	chr5_JH584296_random
JH584297.1	chr5_JH584297_random
JH584298.1	chr5_JH584298_random
JH584299.1	chr5_JH584299_random
JH584300.1	chrY_JH584300_random
JH584301.1	chrY_JH584301_random
JH584302.1	chrY_JH584302_random
JH584303.1	chrY_JH584303_random
JH584304.1	chrUn_JH584304
JH792826.1	
JH792827.1	
JH792828.1	
JH792829.1	
JH792830.1	
JH792831.1	
JH792832.1	
JH792833.1	
JH792834.1	
KB469738.3	
KB469739.1	
KB469740.1	
KB469741.2	
KB469742.1	
KK082441.1	
KK082442.1	
KK082443.1	
KQ030484.1	
KQ030485.1	
KQ030486.1	
KQ030487.1	
KQ030488.1	
KQ030489.1	
KQ030490.1	
KQ030491.1	
KQ030492.1	
KQ030493.1	
KQ030494.1	
KQ030495.1	
KQ030496.1	
KQ030497.1	
KV575232.1	
KV575233.1	
KV575234.1	
KV575235.1	
KV575236.1	
KV575237.1	
KV575238.1	
KV575239.1	
KV575240.1	
KV575241.1	
KV575242.1	
chr1	chr1
chr10	chr10
chr11	chr11
chr12	chr12
chr13	chr13
chr14	chr14
chr15	chr15
chr16	chr16
chr17	chr17
chr18	chr18
chr19	chr19
chr2	chr2
chr3	chr3
chr4	chr4
chr5	chr5
chr6	chr6
chr7	chr7
chr8	chr8
chr9	chr9
chrM	chrM
chrX	chrX
chrY	chrY
