chr1	1
chr2	2
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr20	20
chr21	21
chr22	22
chr23	23
chr24	24
chr25	25
chrM	MT
Zv9_NA1	Zv9_NA1
Zv9_NA10	Zv9_NA10
Zv9_NA100	Zv9_NA100
Zv9_NA1000	Zv9_NA1000
Zv9_NA101	Zv9_NA101
Zv9_NA102	Zv9_NA102
Zv9_NA103	Zv9_NA103
Zv9_NA104	Zv9_NA104
Zv9_NA105	Zv9_NA105
Zv9_NA106	Zv9_NA106
Zv9_NA107	Zv9_NA107
Zv9_NA108	Zv9_NA108
Zv9_NA109	Zv9_NA109
Zv9_NA11	Zv9_NA11
Zv9_NA110	Zv9_NA110
Zv9_NA111	Zv9_NA111
Zv9_NA112	Zv9_NA112
Zv9_NA113	Zv9_NA113
Zv9_NA114	Zv9_NA114
Zv9_NA115	Zv9_NA115
Zv9_NA116	Zv9_NA116
Zv9_NA117	Zv9_NA117
Zv9_NA118	Zv9_NA118
Zv9_NA119	Zv9_NA119
Zv9_NA12	Zv9_NA12
Zv9_NA120	Zv9_NA120
Zv9_NA121	Zv9_NA121
Zv9_NA122	Zv9_NA122
Zv9_NA123	Zv9_NA123
Zv9_NA124	Zv9_NA124
Zv9_NA125	Zv9_NA125
Zv9_NA126	Zv9_NA126
Zv9_NA127	Zv9_NA127
Zv9_NA128	Zv9_NA128
Zv9_NA129	Zv9_NA129
Zv9_NA13	Zv9_NA13
Zv9_NA130	Zv9_NA130
Zv9_NA131	Zv9_NA131
Zv9_NA132	Zv9_NA132
Zv9_NA133	Zv9_NA133
Zv9_NA134	Zv9_NA134
Zv9_NA135	Zv9_NA135
Zv9_NA136	Zv9_NA136
Zv9_NA137	Zv9_NA137
Zv9_NA138	Zv9_NA138
Zv9_NA139	Zv9_NA139
Zv9_NA14	Zv9_NA14
Zv9_NA140	Zv9_NA140
Zv9_NA141	Zv9_NA141
Zv9_NA142	Zv9_NA142
Zv9_NA143	Zv9_NA143
Zv9_NA144	Zv9_NA144
Zv9_NA145	Zv9_NA145
Zv9_NA146	Zv9_NA146
Zv9_NA147	Zv9_NA147
Zv9_NA148	Zv9_NA148
Zv9_NA149	Zv9_NA149
Zv9_NA15	Zv9_NA15
Zv9_NA150	Zv9_NA150
Zv9_NA151	Zv9_NA151
Zv9_NA152	Zv9_NA152
Zv9_NA153	Zv9_NA153
Zv9_NA154	Zv9_NA154
Zv9_NA155	Zv9_NA155
Zv9_NA156	Zv9_NA156
Zv9_NA157	Zv9_NA157
Zv9_NA158	Zv9_NA158
Zv9_NA159	Zv9_NA159
Zv9_NA16	Zv9_NA16
Zv9_NA160	Zv9_NA160
Zv9_NA161	Zv9_NA161
Zv9_NA162	Zv9_NA162
Zv9_NA163	Zv9_NA163
Zv9_NA164	Zv9_NA164
Zv9_NA165	Zv9_NA165
Zv9_NA166	Zv9_NA166
Zv9_NA167	Zv9_NA167
Zv9_NA168	Zv9_NA168
Zv9_NA169	Zv9_NA169
Zv9_NA17	Zv9_NA17
Zv9_NA170	Zv9_NA170
Zv9_NA171	Zv9_NA171
Zv9_NA172	Zv9_NA172
Zv9_NA173	Zv9_NA173
Zv9_NA174	Zv9_NA174
Zv9_NA175	Zv9_NA175
Zv9_NA176	Zv9_NA176
Zv9_NA177	Zv9_NA177
Zv9_NA178	Zv9_NA178
Zv9_NA179	Zv9_NA179
Zv9_NA18	Zv9_NA18
Zv9_NA180	Zv9_NA180
Zv9_NA181	Zv9_NA181
Zv9_NA182	Zv9_NA182
Zv9_NA183	Zv9_NA183
Zv9_NA184	Zv9_NA184
Zv9_NA185	Zv9_NA185
Zv9_NA186	Zv9_NA186
Zv9_NA187	Zv9_NA187
Zv9_NA188	Zv9_NA188
Zv9_NA189	Zv9_NA189
Zv9_NA19	Zv9_NA19
Zv9_NA190	Zv9_NA190
Zv9_NA191	Zv9_NA191
Zv9_NA192	Zv9_NA192
Zv9_NA193	Zv9_NA193
Zv9_NA194	Zv9_NA194
Zv9_NA195	Zv9_NA195
Zv9_NA196	Zv9_NA196
Zv9_NA197	Zv9_NA197
Zv9_NA198	Zv9_NA198
Zv9_NA199	Zv9_NA199
Zv9_NA2	Zv9_NA2
Zv9_NA200	Zv9_NA200
Zv9_NA201	Zv9_NA201
Zv9_NA202	Zv9_NA202
Zv9_NA203	Zv9_NA203
Zv9_NA204	Zv9_NA204
Zv9_NA205	Zv9_NA205
Zv9_NA206	Zv9_NA206
Zv9_NA207	Zv9_NA207
Zv9_NA208	Zv9_NA208
Zv9_NA209	Zv9_NA209
Zv9_NA21	Zv9_NA21
Zv9_NA210	Zv9_NA210
Zv9_NA211	Zv9_NA211
Zv9_NA212	Zv9_NA212
Zv9_NA213	Zv9_NA213
Zv9_NA214	Zv9_NA214
Zv9_NA215	Zv9_NA215
Zv9_NA216	Zv9_NA216
Zv9_NA217	Zv9_NA217
Zv9_NA218	Zv9_NA218
Zv9_NA219	Zv9_NA219
Zv9_NA22	Zv9_NA22
Zv9_NA220	Zv9_NA220
Zv9_NA221	Zv9_NA221
Zv9_NA222	Zv9_NA222
Zv9_NA223	Zv9_NA223
Zv9_NA224	Zv9_NA224
Zv9_NA225	Zv9_NA225
Zv9_NA226	Zv9_NA226
Zv9_NA227	Zv9_NA227
Zv9_NA228	Zv9_NA228
Zv9_NA229	Zv9_NA229
Zv9_NA23	Zv9_NA23
Zv9_NA230	Zv9_NA230
Zv9_NA231	Zv9_NA231
Zv9_NA232	Zv9_NA232
Zv9_NA233	Zv9_NA233
Zv9_NA234	Zv9_NA234
Zv9_NA235	Zv9_NA235
Zv9_NA236	Zv9_NA236
Zv9_NA237	Zv9_NA237
Zv9_NA238	Zv9_NA238
Zv9_NA239	Zv9_NA239
Zv9_NA24	Zv9_NA24
Zv9_NA240	Zv9_NA240
Zv9_NA241	Zv9_NA241
Zv9_NA242	Zv9_NA242
Zv9_NA243	Zv9_NA243
Zv9_NA244	Zv9_NA244
Zv9_NA245	Zv9_NA245
Zv9_NA246	Zv9_NA246
Zv9_NA247	Zv9_NA247
Zv9_NA248	Zv9_NA248
Zv9_NA249	Zv9_NA249
Zv9_NA25	Zv9_NA25
Zv9_NA250	Zv9_NA250
Zv9_NA251	Zv9_NA251
Zv9_NA252	Zv9_NA252
Zv9_NA253	Zv9_NA253
Zv9_NA254	Zv9_NA254
Zv9_NA255	Zv9_NA255
Zv9_NA256	Zv9_NA256
Zv9_NA257	Zv9_NA257
Zv9_NA258	Zv9_NA258
Zv9_NA259	Zv9_NA259
Zv9_NA26	Zv9_NA26
Zv9_NA260	Zv9_NA260
Zv9_NA261	Zv9_NA261
Zv9_NA262	Zv9_NA262
Zv9_NA263	Zv9_NA263
Zv9_NA264	Zv9_NA264
Zv9_NA265	Zv9_NA265
Zv9_NA266	Zv9_NA266
Zv9_NA267	Zv9_NA267
Zv9_NA268	Zv9_NA268
Zv9_NA269	Zv9_NA269
Zv9_NA27	Zv9_NA27
Zv9_NA270	Zv9_NA270
Zv9_NA271	Zv9_NA271
Zv9_NA272	Zv9_NA272
Zv9_NA273	Zv9_NA273
Zv9_NA274	Zv9_NA274
Zv9_NA275	Zv9_NA275
Zv9_NA276	Zv9_NA276
Zv9_NA277	Zv9_NA277
Zv9_NA278	Zv9_NA278
Zv9_NA279	Zv9_NA279
Zv9_NA28	Zv9_NA28
