X	chrX
2L	chr2L
2R	chr2R
3L	chr3L
3R	chr3R
4	chr4
Y	chrY
X3X4_mapped_Scaffold_6_D1712	chrX_CP007103v1_random
X3X4_mapped_Scaffold_14_D1732	chrX_CP007104v1_random
211000022278498	chrX_DS483648v1_random
211000022279009	chrX_DS483655v1_random
211000022280042	chrX_DS483660v1_random
211000022279446	chrX_DS483665v1_random
211000022280270	chrX_DS483666v1_random
211000022279008	chrX_DS483669v1_random
211000022279676	chrX_DS483685v1_random
211000022279836	chrX_DS483698v1_random
211000022280526	chrX_DS483745v1_random
211000022279563	chrX_DS483784v1_random
211000022279955	chrX_DS483789v1_random
211000022280241	chrX_DS483795v1_random
211000022280466	chrX_DS483803v1_random
211000022279883	chrX_DS483809v1_random
211000022280649	chrX_DS483818v1_random
211000022280645	chrX_DS483821v1_random
211000022279705	chrX_DS483843v1_random
211000022280624	chrX_DS483851v1_random
211000022280479	chrX_DS483885v1_random
211000022280016	chrX_DS483888v1_random
211000022280529	chrX_DS483892v1_random
211000022280539	chrX_DS483893v1_random
211000022279731	chrX_DS483897v1_random
211000022280603	chrX_DS483903v1_random
211000022279673	chrX_DS483905v1_random
211000022280439	chrX_DS483907v1_random
211000022280593	chrX_DS483909v1_random
211000022280629	chrX_DS483923v1_random
211000022280625	chrX_DS483926v1_random
211000022280495	chrX_DS483928v1_random
211000022280620	chrX_DS483946v1_random
211000022280578	chrX_DS483948v1_random
211000022280470	chrX_DS483950v1_random
211000022279730	chrX_DS483955v1_random
211000022278896	chrX_DS483963v1_random
211000022280668	chrX_DS483969v1_random
211000022279499	chrX_DS483971v1_random
211000022280597	chrX_DS483974v1_random
211000022279188	chrX_DS483995v1_random
211000022279772	chrX_DS484002v1_random
211000022279497	chrX_DS484005v1_random
211000022278361	chrX_DS484012v1_random
211000022278544	chrX_DS484023v1_random
211000022280669	chrX_DS484026v1_random
211000022280587	chrX_DS484046v1_random
211000022280538	chrX_DS484051v1_random
211000022279109	chrX_DS484057v1_random
211000022280641	chrX_DS484060v1_random
211000022280532	chrX_DS484061v1_random
211000022279460	chrX_DS484067v1_random
211000022279081	chrX_DS484072v1_random
211000022278235	chrX_DS484074v1_random
211000022280542	chrX_DS484075v1_random
211000022280584	chrX_DS484081v1_random
211000022278208	chrX_DS484084v1_random
211000022279277	chrX_DS484085v1_random
211000022279608	chrX_DS484088v1_random
211000022280639	chrX_DS484099v1_random
211000022278724	chrX_DS484101v1_random
211000022278846	chrX_DS484112v1_random
211000022278868	chrX_DS484114v1_random
211000022279968	chrX_DS484124v1_random
211000022279698	chrX_DS484125v1_random
211000022278463	chrX_DS484126v1_random
211000022279552	chrX_DS484130v1_random
211000022279703	chrX_DS484131v1_random
211000022280642	chrX_DS484132v1_random
211000022280592	chrX_DS484133v1_random
211000022279408	chrX_DS484135v1_random
211000022278821	chrX_DS484136v1_random
211000022279082	chrX_DS484137v1_random
211000022280537	chrX_DS484140v1_random
211000022279502	chrX_DS484143v1_random
211000022278209	chrX_DS484161v1_random
211000022279298	chrX_DS484162v1_random
211000022279287	chrX_DS484165v1_random
211000022280632	chrX_DS484166v1_random
211000022278921	chrX_DS484178v1_random
211000022278645	chrX_DS484182v1_random
211000022280148	chrX_DS484185v1_random
211000022280095	chrX_DS484187v1_random
211000022278630	chrX_DS484198v1_random
211000022278316	chrX_DS484200v1_random
211000022278615	chrX_DS484201v1_random
211000022279917	chrX_DS484203v1_random
211000022278648	chrX_DS484215v1_random
211000022280062	chrX_DS484216v1_random
211000022278299	chrX_DS484219v1_random
211000022278489	chrX_DS484235v1_random
211000022278831	chrX_DS484252v1_random
211000022279062	chrX_DS484260v1_random
211000022278622	chrX_DS484261v1_random
211000022279902	chrX_DS484268v1_random
211000022278172	chrX_DS484272v1_random
211000022279994	chrX_DS484273v1_random
211000022280586	chrX_DS484278v1_random
211000022278225	chrX_DS484284v1_random
211000022278828	chrX_DS484288v1_random
211000022279537	chrX_DS484293v1_random
211000022279967	chrX_DS484297v1_random
211000022278578	chrX_DS484298v1_random
211000022278908	chrX_DS484305v1_random
211000022280453	chrX_DS484316v1_random
211000022279530	chrX_DS484319v1_random
211000022279340	chrX_DS484322v1_random
211000022278844	chrX_DS484323v1_random
211000022280507	chrX_DS484326v1_random
211000022279704	chrX_DS484328v1_random
211000022280534	chrX_DS484330v1_random
211000022278649	chrX_DS484337v1_random
211000022280633	chrX_DS484341v1_random
211000022279092	chrX_DS484344v1_random
211000022279774	chrX_DS484345v1_random
211000022279504	chrX_DS484346v1_random
211000022278810	chrX_DS484349v1_random
211000022278557	chrX_DS484354v1_random
211000022279689	chrX_DS484356v1_random
211000022279085	chrX_DS484357v1_random
211000022278341	chrX_DS484358v1_random
211000022279553	chrX_DS484359v1_random
211000022278823	chrX_DS484360v1_random
211000022279732	chrX_DS484361v1_random
211000022278612	chrX_DS484362v1_random
211000022278639	chrX_DS484364v1_random
211000022278249	chrX_DS484367v1_random
211000022278629	chrX_DS484368v1_random
211000022280330	chrX_DS484371v1_random
211000022279299	chrX_DS484374v1_random
211000022278513	chrX_DS484379v1_random
211000022280088	chrX_DS484382v1_random
211000022279514	chrX_DS484384v1_random
211000022280442	chrX_DS484387v1_random
211000022278461	chrX_DS484388v1_random
