1	chr1
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
CHR_MG132_PATCH	KB469738.2
CHR_MG153_PATCH	JH792830.1
CHR_MG184_PATCH	KK082442.1
CHR_MG3829_PATCH	KB469739.1
CHR_MG3833_PATCH	KB469741.1
CHR_MG3835_PATCH	JH792829.1
CHR_MG4136_PATCH	JH792826.1
CHR_MG4151_PATCH	JH792828.1
CHR_MG4180_PATCH	KB469740.1
CHR_MG4209_PATCH	JH792832.1
CHR_MG4211_PATCH	JH792833.1
CHR_MG4212_PATCH	JH792827.1
CHR_MG4213_PATCH	JH792834.1
CHR_MG4214_PATCH	JH792831.1
CHR_MG4222_MG3908_PATCH	KB469742.1
CHR_MG4237_PATCH	KK082443.1
CHR_MMCHR1_CHORI29_IDD5_1	KK082441.1
GL456210.1	GL456210.1
GL456211.1	GL456211.1
GL456212.1	GL456212.1
GL456213.1	GL456213.1
GL456216.1	GL456216.1
GL456219.1	GL456219.1
GL456221.1	GL456221.1
GL456233.1	GL456233.1
GL456239.1	GL456239.1
GL456350.1	GL456350.1
GL456354.1	GL456354.1
GL456359.1	GL456359.1
GL456360.1	GL456360.1
GL456366.1	GL456366.1
GL456367.1	GL456367.1
GL456368.1	GL456368.1
GL456370.1	GL456370.1
GL456372.1	GL456372.1
GL456378.1	GL456378.1
GL456379.1	GL456379.1
GL456381.1	GL456381.1
GL456382.1	GL456382.1
GL456383.1	GL456383.1
GL456385.1	GL456385.1
GL456387.1	GL456387.1
GL456389.1	GL456389.1
GL456390.1	GL456390.1
GL456392.1	GL456392.1
GL456393.1	GL456393.1
GL456394.1	GL456394.1
GL456396.1	GL456396.1
JH584292.1	JH584292.1
JH584293.1	JH584293.1
JH584294.1	JH584294.1
JH584295.1	JH584295.1
JH584296.1	JH584296.1
JH584297.1	JH584297.1
JH584298.1	JH584298.1
JH584299.1	JH584299.1
JH584300.1	JH584300.1
JH584301.1	JH584301.1
JH584302.1	JH584302.1
JH584303.1	JH584303.1
JH584304.1	JH584304.1
MT	chrM
X	chrX
Y	chrY
