chr1L	chr1L
chr1S	chr1S
chr2L	chr2L
chr2S	chr2S
chr3L	chr3L
chr3S	chr3S
chr4L	chr4L
chr4S	chr4S
chr5L	chr5L
chr5S	chr5S
chr6L	chr6L
chr6S	chr6S
chr7L	chr7L
chr7S	chr7S
chr8L	chr8L
chr8S	chr8S
chr9_10L	chr9_10L
chr9_10S	chr9_10S
MT	chrM
Scaffold100	chrUn_NW_016694891v1
Scaffold1000	chrUn_NW_016695783v1
Scaffold10000	chrUn_NW_016704031v1
Scaffold100000	chrUn_NW_016787269v1
Scaffold100001	chrUn_NW_016787270v1
Scaffold100002	chrUn_NW_016787271v1
Scaffold100003	chrUn_NW_016787272v1
Scaffold100004	chrUn_NW_016787273v1
Scaffold100005	chrUn_NW_016787274v1
Scaffold100006	chrUn_NW_016787275v1
Scaffold100007	chrUn_NW_016787276v1
Scaffold100008	chrUn_NW_016787277v1
Scaffold10001	chrUn_NW_016704032v1
Scaffold100010	chrUn_NW_016787278v1
Scaffold100011	chrUn_NW_016787279v1
Scaffold100012	chrUn_NW_016787280v1
Scaffold100013	chrUn_NW_016787281v1
Scaffold100014	chrUn_NW_016787282v1
Scaffold100015	chrUn_NW_016787283v1
Scaffold100016	chrUn_NW_016787284v1
Scaffold100017	chrUn_NW_016787285v1
Scaffold100018	chrUn_NW_016787286v1
Scaffold100019	chrUn_NW_016787287v1
Scaffold10002	chrUn_NW_016704033v1
Scaffold100020	chrUn_NW_016787288v1
Scaffold100021	chrUn_NW_016787289v1
Scaffold100022	chrUn_NW_016787290v1
Scaffold100023	chrUn_NW_016787291v1
Scaffold100024	chrUn_NW_016787292v1
Scaffold100025	chrUn_NW_016787293v1
Scaffold100026	chrUn_NW_016787294v1
Scaffold100027	chrUn_NW_016787295v1
Scaffold100028	chrUn_NW_016787296v1
Scaffold100029	chrUn_NW_016787297v1
Scaffold10003	chrUn_NW_016704034v1
Scaffold100030	chrUn_NW_016787298v1
Scaffold100031	chrUn_NW_016787299v1
Scaffold100032	chrUn_NW_016787300v1
Scaffold100033	chrUn_NW_016787301v1
Scaffold100034	chrUn_NW_016787302v1
Scaffold100035	chrUn_NW_016787303v1
Scaffold100036	chrUn_NW_016787304v1
Scaffold100037	chrUn_NW_016787305v1
Scaffold100038	chrUn_NW_016787306v1
Scaffold100039	chrUn_NW_016787307v1
Scaffold10004	chrUn_NW_016704035v1
Scaffold100040	chrUn_NW_016787308v1
Scaffold100041	chrUn_NW_016787309v1
Scaffold100042	chrUn_NW_016787310v1
Scaffold100043	chrUn_NW_016787311v1
Scaffold100044	chrUn_NW_016787312v1
Scaffold100045	chrUn_NW_016787313v1
Scaffold100046	chrUn_NW_016787314v1
Scaffold100047	chrUn_NW_016787315v1
Scaffold100048	chrUn_NW_016787316v1
Scaffold100049	chrUn_NW_016787317v1
Scaffold10005	chrUn_NW_016704036v1
Scaffold100050	chrUn_NW_016787318v1
Scaffold100051	chrUn_NW_016787319v1
Scaffold100052	chrUn_NW_016787320v1
Scaffold100053	chrUn_NW_016787321v1
Scaffold100054	chrUn_NW_016787322v1
Scaffold100055	chrUn_NW_016787323v1
Scaffold100056	chrUn_NW_016787324v1
Scaffold100057	chrUn_NW_016787325v1
Scaffold100058	chrUn_NW_016787326v1
Scaffold100059	chrUn_NW_016787327v1
Scaffold10006	chrUn_NW_016704037v1
Scaffold100060	chrUn_NW_016787328v1
Scaffold100061	chrUn_NW_016787329v1
Scaffold100062	chrUn_NW_016787330v1
Scaffold100063	chrUn_NW_016787331v1
Scaffold100064	chrUn_NW_016787332v1
Scaffold100065	chrUn_NW_016787333v1
Scaffold100066	chrUn_NW_016787334v1
Scaffold100067	chrUn_NW_016787335v1
