1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
23	chr23
24	chr24
25	chr25
26	chr26
27	chr27
28	chr28
30	chr30
31	chr31
32	chr32
33	chr33
W	chrW
Z	chrZ
AADN05001166.1	chr1_NW_020109739v1_random
AADN05001175.1	chr1_NW_020109740v1_random
AADN05001177.1	chr1_NW_020109737v1_random
AADN05001290.1	chr1_NW_020109742v1_random
AADN05001373.1	chr1_NW_020109741v1_random
AADN05001390.1	chr1_NW_020109743v1_random
AADN05001403.1	chr1_NW_020109738v1_random
AADN05001148.1	chr3_NW_020109745v1_random
AADN05001218.1	chr3_NW_020109746v1_random
AADN05001230.1	chr3_NW_020109747v1_random
AADN05001551.1	chr3_NW_020109744v1_random
AADN05001169.1	chr6_NW_020109750v1_random
AADN05001217.1	chr6_NW_020109753v1_random
AADN05001228.1	chr6_NW_020109751v1_random
AADN05001229.1	chr6_NW_020109752v1_random
AADN05001277.1	chr6_NW_020109748v1_random
AADN05001479.1	chr6_NW_020109749v1_random
AADN05000525.1	chr9_NW_020109754v1_random
AADN05001554.1	chr13_NW_020109755v1_random
AADN05001158.1	chr14_NW_020109756v1_random
AADN05001270.1	chr15_NW_020109757v1_random
KZ626819.1	chr16_NW_020109758v1_random
AADN05001539.1	chr19_NW_020109759v1_random
AADN05001282.1	chr22_NW_020109760v1_random
AADN05001160.1	chr23_NW_020109766v1_random
AADN05001267.1	chr23_NW_020109765v1_random
AADN05001389.1	chr23_NW_020109764v1_random
AADN05001507.1	chr23_NW_020109763v1_random
AADN05001548.1	chr23_NW_020109762v1_random
AADN05001564.1	chr23_NW_020109761v1_random
AADN05001297.1	chr25_NW_020109767v1_random
AADN05001153.1	chr28_NW_020109768v1_random
AADN05001204.1	chr31_NW_020109769v1_random
AADN05001362.1	chr31_NW_020109771v1_random
AADN05001406.1	chr31_NW_020109770v1_random
AADN05001549.1	chr33_NW_020109772v1_random
AADN05001154.1	chrW_NW_020109776v1_random
AADN05001185.1	chrW_NW_020109805v1_random
AADN05001192.1	chrW_NW_020109791v1_random
AADN05001196.1	chrW_NW_020109777v1_random
AADN05001237.1	chrW_NW_020109812v1_random
AADN05001238.1	chrW_NW_020109800v1_random
AADN05001265.1	chrW_NW_020109796v1_random
AADN05001298.1	chrW_NW_020109778v1_random
AADN05001370.1	chrW_NW_020109826v1_random
AADN05001410.1	chrW_NW_020109804v1_random
AADN05001412.1	chrW_NW_020109814v1_random
AADN05001413.1	chrW_NW_020109782v1_random
AADN05001423.1	chrW_NW_020109823v1_random
AADN05001424.1	chrW_NW_020109822v1_random
AADN05001425.1	chrW_NW_020109819v1_random
AADN05001426.1	chrW_NW_020109793v1_random
AADN05001427.1	chrW_NW_020109790v1_random
AADN05001428.1	chrW_NW_020109781v1_random
AADN05001429.1	chrW_NW_020109785v1_random
AADN05001431.1	chrW_NW_020109802v1_random
AADN05001433.1	chrW_NW_020109820v1_random
AADN05001434.1	chrW_NW_020109817v1_random
AADN05001435.1	chrW_NW_020109815v1_random
AADN05001436.1	chrW_NW_020109810v1_random
AADN05001438.1	chrW_NW_020109808v1_random
AADN05001442.1	chrW_NW_020109801v1_random
AADN05001445.1	chrW_NW_020109795v1_random
AADN05001449.1	chrW_NW_020109789v1_random
AADN05001450.1	chrW_NW_020109786v1_random
AADN05001451.1	chrW_NW_020109784v1_random
AADN05001452.1	chrW_NW_020109798v1_random
AADN05001453.1	chrW_NW_020109797v1_random
AADN05001457.1	chrW_NW_020109787v1_random
AADN05001458.1	chrW_NW_020109779v1_random
AADN05001459.1	chrW_NW_020109806v1_random
AADN05001461.1	chrW_NW_020109818v1_random
AADN05001462.1	chrW_NW_020109807v1_random
AADN05001466.1	chrW_NW_020109825v1_random
AADN05001467.1	chrW_NW_020109821v1_random
AADN05001468.1	chrW_NW_020109813v1_random
AADN05001469.1	chrW_NW_020109809v1_random
AADN05001470.1	chrW_NW_020109799v1_random
AADN05001471.1	chrW_NW_020109788v1_random
AADN05001472.1	chrW_NW_020109775v1_random
AADN05001480.1	chrW_NW_020109803v1_random
AADN05001482.1	chrW_NW_020109816v1_random
AADN05001499.1	chrW_NW_020109794v1_random
AADN05001500.1	chrW_NW_020109780v1_random
AADN05001501.1	chrW_NW_020109783v1_random
AADN05001506.1	chrW_NW_020109811v1_random
AADN05001518.1	chrW_NW_020109824v1_random
AADN05001523.1	chrW_NW_020109792v1_random
AADN05001439.1	chrZ_NW_020109829v1_random
AADN05000202.1	chrUn_NW_020109839v1
AADN05000232.1	chrUn_NW_020110168v1
AADN05000531.1	chrUn_NW_020109833v1
AADN05000623.1	chrUn_NW_020109887v1
AADN05001145.1	chrUn_NW_020110117v1
AADN05001146.1	chrUn_NW_020110056v1
AADN05001147.1	chrUn_NW_020109854v1
AADN05001149.1	chrUn_NW_020109971v1
AADN05001150.1	chrUn_NW_020109897v1
AADN05001151.1	chrUn_NW_020110030v1
AADN05001152.1	chrUn_NW_020109873v1
AADN05001155.1	chrUn_NW_020109927v1
AADN05001156.1	chrUn_NW_020109931v1
AADN05001157.1	chrUn_NW_020110002v1
AADN05001159.1	chrUn_NW_020109852v1
AADN05001161.1	chrUn_NW_020110019v1
AADN05001162.1	chrUn_NW_020109889v1
AADN05001163.1	chrUn_NW_020109883v1
AADN05001164.1	chrUn_NW_020109911v1
AADN05001165.1	chrUn_NW_020110078v1
AADN05001167.1	chrUn_NW_020110074v1
AADN05001168.1	chrUn_NW_020109969v1
AADN05001170.1	chrUn_NW_020110073v1
AADN05001171.1	chrUn_NW_020110017v1
AADN05001172.1	chrUn_NW_020110126v1
AADN05001173.1	chrUn_NW_020109977v1
AADN05001174.1	chrUn_NW_020109953v1
AADN05001176.1	chrUn_NW_020109913v1
AADN05001178.1	chrUn_NW_020109890v1
AADN05001179.1	chrUn_NW_020110025v1
AADN05001180.1	chrUn_NW_020109923v1
AADN05001181.1	chrUn_NW_020109853v1
AADN05001182.1	chrUn_NW_020109999v1
AADN05001183.1	chrUn_NW_020109955v1
AADN05001184.1	chrUn_NW_020109929v1
AADN05001186.1	chrUn_NW_020109908v1
AADN05001187.1	chrUn_NW_020109843v1
AADN05001188.1	chrUn_NW_020110149v1
AADN05001189.1	chrUn_NW_020109968v1
AADN05001190.1	chrUn_NW_020109885v1
AADN05001191.1	chrUn_NW_020110081v1
AADN05001193.1	chrUn_NW_020109836v1
AADN05001194.1	chrUn_NW_020109922v1
AADN05001195.1	chrUn_NW_020110065v1
AADN05001197.1	chrUn_NW_020110112v1
AADN05001198.1	chrUn_NW_020110008v1
AADN05001199.1	chrUn_NW_020110094v1
AADN05001200.1	chrUn_NW_020110058v1
AADN05001201.1	chrUn_NW_020110066v1
AADN05001202.1	chrUn_NW_020110109v1
AADN05001203.1	chrUn_NW_020110068v1
AADN05001205.1	chrUn_NW_020110088v1
AADN05001206.1	chrUn_NW_020109991v1
AADN05001207.1	chrUn_NW_020109937v1
AADN05001208.1	chrUn_NW_020109920v1
AADN05001209.1	chrUn_NW_020109932v1
AADN05001210.1	chrUn_NW_020109851v1
AADN05001211.1	chrUn_NW_020109978v1
AADN05001212.1	chrUn_NW_020109949v1
AADN05001213.1	chrUn_NW_020109863v1
AADN05001214.1	chrUn_NW_020110090v1
AADN05001215.1	chrUn_NW_020109892v1
AADN05001216.1	chrUn_NW_020109982v1
AADN05001219.1	chrUn_NW_020110145v1
AADN05001220.1	chrUn_NW_020110147v1
AADN05001221.1	chrUn_NW_020110134v1
AADN05001222.1	chrUn_NW_020110127v1
AADN05001223.1	chrUn_NW_020110121v1
AADN05001224.1	chrUn_NW_020110122v1
AADN05001225.1	chrUn_NW_020110099v1
AADN05001226.1	chrUn_NW_020110085v1
AADN05001227.1	chrUn_NW_020110118v1
AADN05001231.1	chrUn_NW_020109957v1
AADN05001232.1	chrUn_NW_020110063v1
AADN05001233.1	chrUn_NW_020110087v1
AADN05001234.1	chrUn_NW_020110086v1
AADN05001235.1	chrUn_NW_020110150v1
AADN05001236.1	chrUn_NW_020109916v1
AADN05001239.1	chrUn_NW_020109941v1
AADN05001240.1	chrUn_NW_020109831v1
AADN05001241.1	chrUn_NW_020110136v1
AADN05001242.1	chrUn_NW_020110014v1
AADN05001243.1	chrUn_NW_020109963v1
AADN05001244.1	chrUn_NW_020109867v1
AADN05001245.1	chrUn_NW_020110045v1
AADN05001246.1	chrUn_NW_020109865v1
AADN05001247.1	chrUn_NW_020109940v1
AADN05001248.1	chrUn_NW_020110000v1
AADN05001249.1	chrUn_NW_020109972v1
AADN05001250.1	chrUn_NW_020110115v1
AADN05001251.1	chrUn_NW_020110011v1
AADN05001252.1	chrUn_NW_020109909v1
AADN05001253.1	chrUn_NW_020109868v1
AADN05001254.1	chrUn_NW_020109996v1
AADN05001255.1	chrUn_NW_020110067v1
AADN05001256.1	chrUn_NW_020110055v1
AADN05001257.1	chrUn_NW_020110036v1
AADN05001258.1	chrUn_NW_020110020v1
AADN05001259.1	chrUn_NW_020109992v1
AADN05001260.1	chrUn_NW_020109933v1
AADN05001261.1	chrUn_NW_020109903v1
AADN05001262.1	chrUn_NW_020109936v1
AADN05001263.1	chrUn_NW_020109944v1
AADN05001264.1	chrUn_NW_020110102v1
AADN05001266.1	chrUn_NW_020109905v1
AADN05001268.1	chrUn_NW_020109918v1
AADN05001269.1	chrUn_NW_020109906v1
AADN05001271.1	chrUn_NW_020110083v1
AADN05001272.1	chrUn_NW_020110005v1
AADN05001273.1	chrUn_NW_020109886v1
AADN05001274.1	chrUn_NW_020110028v1
AADN05001275.1	chrUn_NW_020110114v1
AADN05001276.1	chrUn_NW_020110043v1
AADN05001278.1	chrUn_NW_020110006v1
AADN05001279.1	chrUn_NW_020109884v1
AADN05001280.1	chrUn_NW_020109993v1
AADN05001281.1	chrUn_NW_020109960v1
AADN05001283.1	chrUn_NW_020110084v1
AADN05001284.1	chrUn_NW_020109959v1
AADN05001285.1	chrUn_NW_020109910v1
AADN05001286.1	chrUn_NW_020109859v1
AADN05001287.1	chrUn_NW_020110137v1
AADN05001288.1	chrUn_NW_020110132v1
AADN05001289.1	chrUn_NW_020110091v1
AADN05001291.1	chrUn_NW_020110152v1
AADN05001292.1	chrUn_NW_020110142v1
AADN05001293.1	chrUn_NW_020110113v1
AADN05001294.1	chrUn_NW_020109926v1
AADN05001295.1	chrUn_NW_020109881v1
AADN05001296.1	chrUn_NW_020109928v1
AADN05001299.1	chrUn_NW_020109875v1
AADN05001300.1	chrUn_NW_020109870v1
AADN05001301.1	chrUn_NW_020109934v1
AADN05001302.1	chrUn_NW_020110079v1
