1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
X	chrX
Y	chrY
AABR07046142.1	chr1_AABR07046142v1_random
AABR07046150.1	chr1_AABR07046150v1_random
AABR07046158.1	chr1_AABR07046158v1_random
AABR07046159.1	chr1_AABR07046159v1_random
AABR07046182.1	chr1_AABR07046182v1_random
AABR07046186.1	chr1_AABR07046186v1_random
AABR07046187.1	chr1_AABR07046187v1_random
AABR07046211.1	chr1_AABR07046211v1_random
AABR07046212.1	chr1_AABR07046212v1_random
AABR07046222.1	chr1_AABR07046222v1_random
AABR07046230.1	chr1_AABR07046230v1_random
AABR07046231.1	chr1_AABR07046231v1_random
KL567879.1	chr1_KL567879v1_random
KL567880.1	chr1_KL567880v1_random
KL567881.1	chr1_KL567881v1_random
KL567882.1	chr1_KL567882v1_random
KL567883.1	chr1_KL567883v1_random
KL567884.1	chr1_KL567884v1_random
KL567885.1	chr1_KL567885v1_random
KL567886.1	chr1_KL567886v1_random
KL567887.1	chr1_KL567887v1_random
KL567888.1	chr1_KL567888v1_random
KL567889.1	chr1_KL567889v1_random
KL567890.1	chr1_KL567890v1_random
KL567891.1	chr1_KL567891v1_random
KL567892.1	chr1_KL567892v1_random
KL567893.1	chr1_KL567893v1_random
KL567894.1	chr1_KL567894v1_random
KL567895.1	chr1_KL567895v1_random
AABR07045875.1	chr2_AABR07045875v1_random
AABR07045975.1	chr2_AABR07045975v1_random
AABR07046014.1	chr2_AABR07046014v1_random
KL567896.1	chr2_KL567896v1_random
KL567897.1	chr2_KL567897v1_random
KL567898.1	chr2_KL567898v1_random
KL567899.1	chr2_KL567899v1_random
KL567900.1	chr2_KL567900v1_random
KL567901.1	chr2_KL567901v1_random
KL567902.1	chr2_KL567902v1_random
KL567903.1	chr2_KL567903v1_random
KL567904.1	chr2_KL567904v1_random
KL567905.1	chr2_KL567905v1_random
KL567906.1	chr2_KL567906v1_random
KL567907.1	chr2_KL567907v1_random
KL567908.1	chr2_KL567908v1_random
KL567909.1	chr2_KL567909v1_random
KL567910.1	chr2_KL567910v1_random
KL567911.1	chr2_KL567911v1_random
KL567912.1	chr2_KL567912v1_random
KL567913.1	chr2_KL567913v1_random
KL567914.1	chr2_KL567914v1_random
KL567915.1	chr2_KL567915v1_random
AABR07046243.1	chr3_AABR07046243v1_random
AABR07046248.1	chr3_AABR07046248v1_random
AABR07046249.1	chr3_AABR07046249v1_random
AABR07046267.1	chr3_AABR07046267v1_random
AABR07046283.1	chr3_AABR07046283v1_random
AABR07046296.1	chr3_AABR07046296v1_random
AABR07046319.1	chr3_AABR07046319v1_random
KL567916.1	chr3_KL567916v1_random
KL567917.1	chr3_KL567917v1_random
KL567918.1	chr3_KL567918v1_random
KL567919.1	chr3_KL567919v1_random
KL567920.1	chr3_KL567920v1_random
KL567921.1	chr3_KL567921v1_random
KL567922.1	chr3_KL567922v1_random
KL567923.1	chr3_KL567923v1_random
KL567924.1	chr3_KL567924v1_random
KL567925.1	chr3_KL567925v1_random
KL567926.1	chr3_KL567926v1_random
KL567927.1	chr3_KL567927v1_random
KL567928.1	chr3_KL567928v1_random
KL567929.1	chr3_KL567929v1_random
KL567930.1	chr3_KL567930v1_random
KL567931.1	chr3_KL567931v1_random
KL567932.1	chr3_KL567932v1_random
AABR07046405.1	chr4_AABR07046405v1_random
KL567933.1	chr4_KL567933v1_random
KL567934.1	chr4_KL567934v1_random
KL567935.1	chr4_KL567935v1_random
KL567936.1	chr4_KL567936v1_random
KL567937.1	chr4_KL567937v1_random
KL567938.1	chr4_KL567938v1_random
KL567939.1	chr4_KL567939v1_random
KL567940.1	chr4_KL567940v1_random
KL567941.1	chr4_KL567941v1_random
KL567942.1	chr4_KL567942v1_random
KL567943.1	chr4_KL567943v1_random
KL567944.1	chr4_KL567944v1_random
KL567945.1	chr4_KL567945v1_random
KL567946.1	chr4_KL567946v1_random
KL567947.1	chr4_KL567947v1_random
AABR07046433.1	chr5_AABR07046433v1_random
AABR07046507.1	chr5_AABR07046507v1_random
KL567948.1	chr5_KL567948v1_random
KL567949.1	chr5_KL567949v1_random
KL567950.1	chr5_KL567950v1_random
KL567951.1	chr5_KL567951v1_random
KL567952.1	chr5_KL567952v1_random
KL567953.1	chr5_KL567953v1_random
KL567954.1	chr5_KL567954v1_random
KL567955.1	chr5_KL567955v1_random
KL567956.1	chr5_KL567956v1_random
KL567957.1	chr5_KL567957v1_random
KL567958.1	chr5_KL567958v1_random
KL567959.1	chr5_KL567959v1_random
KL567960.1	chr5_KL567960v1_random
KL567961.1	chr5_KL567961v1_random
KL567962.1	chr5_KL567962v1_random
KL567963.1	chr5_KL567963v1_random
KL567964.1	chr5_KL567964v1_random
AABR07055042.1	chr6_AABR07055042v1_random
KL567965.1	chr6_KL567965v1_random
KL567966.1	chr6_KL567966v1_random
KL567967.1	chr6_KL567967v1_random
KL567968.1	chr6_KL567968v1_random
KL567969.1	chr6_KL567969v1_random
KL567970.1	chr6_KL567970v1_random
KL567971.1	chr6_KL567971v1_random
KL567972.1	chr6_KL567972v1_random
KL567973.1	chr6_KL567973v1_random
KL567974.1	chr6_KL567974v1_random
AABR07046019.1	chr7_AABR07046019v1_random
AABR07046034.1	chr7_AABR07046034v1_random
AABR07046136.1	chr7_AABR07046136v1_random
AABR07046137.1	chr7_AABR07046137v1_random
KL567975.1	chr7_KL567975v1_random
KL567976.1	chr7_KL567976v1_random
KL567977.1	chr7_KL567977v1_random
KL567978.1	chr7_KL567978v1_random
KL567979.1	chr7_KL567979v1_random
KL567980.1	chr7_KL567980v1_random
KL567981.1	chr7_KL567981v1_random
KL567982.1	chr7_KL567982v1_random
KL567983.1	chr7_KL567983v1_random
KL567984.1	chr7_KL567984v1_random
KL567985.1	chr7_KL567985v1_random
KL567986.1	chr7_KL567986v1_random
KL567987.1	chr7_KL567987v1_random
KL567988.1	chr7_KL567988v1_random
KL567989.1	chr7_KL567989v1_random
KL567990.1	chr7_KL567990v1_random
KL567991.1	chr7_KL567991v1_random
KL567992.1	chr7_KL567992v1_random
KL567993.1	chr7_KL567993v1_random
KL567994.1	chr7_KL567994v1_random
AABR07050661.1	chr8_AABR07050661v1_random
AABR07050689.1	chr8_AABR07050689v1_random
AABR07050727.1	chr8_AABR07050727v1_random
KL567995.1	chr8_KL567995v1_random
KL567996.1	chr8_KL567996v1_random
KL567997.1	chr8_KL567997v1_random
KL567998.1	chr8_KL567998v1_random
KL567999.1	chr8_KL567999v1_random
KL568000.1	chr8_KL568000v1_random
KL568001.1	chr8_KL568001v1_random
KL568002.1	chr8_KL568002v1_random
AABR07051154.1	chr9_AABR07051154v1_random
AABR07051155.1	chr9_AABR07051155v1_random
KL568003.1	chr9_KL568003v1_random
KL568004.1	chr9_KL568004v1_random
KL568005.1	chr9_KL568005v1_random
KL568006.1	chr9_KL568006v1_random
KL568007.1	chr9_KL568007v1_random
AABR07050850.1	chr10_AABR07050850v1_random
AABR07050887.1	chr10_AABR07050887v1_random
AABR07050894.1	chr10_AABR07050894v1_random
KL568008.1	chr10_KL568008v1_random
KL568009.1	chr10_KL568009v1_random
KL568010.1	chr10_KL568010v1_random
KL568011.1	chr10_KL568011v1_random
KL568012.1	chr10_KL568012v1_random
KL568013.1	chr10_KL568013v1_random
KL568014.1	chr10_KL568014v1_random
KL568015.1	chr10_KL568015v1_random
KL568016.1	chr10_KL568016v1_random
KL568017.1	chr10_KL568017v1_random
KL568018.1	chr10_KL568018v1_random
AABR07050811.1	chr11_AABR07050811v1_random
AABR07050815.1	chr11_AABR07050815v1_random
AABR07050825.1	chr11_AABR07050825v1_random
KL568019.1	chr11_KL568019v1_random
KL568020.1	chr11_KL568020v1_random
KL568021.1	chr11_KL568021v1_random
KL568022.1	chr11_KL568022v1_random
KL568023.1	chr11_KL568023v1_random
KL568024.1	chr11_KL568024v1_random
KL568025.1	chr11_KL568025v1_random
KL568026.1	chr11_KL568026v1_random
KL568027.1	chr11_KL568027v1_random
KL568028.1	chr11_KL568028v1_random
KL568029.1	chr11_KL568029v1_random
KL568030.1	chr11_KL568030v1_random
KL568031.1	chr11_KL568031v1_random
AABR07051059.1	chr12_AABR07051059v1_random
AABR07051089.1	chr12_AABR07051089v1_random
AABR07051090.1	chr12_AABR07051090v1_random
KL568032.1	chr12_KL568032v1_random
KL568033.1	chr12_KL568033v1_random
KL568034.1	chr12_KL568034v1_random
KL568035.1	chr12_KL568035v1_random
KL568036.1	chr12_KL568036v1_random
KL568037.1	chr12_KL568037v1_random
KL568038.1	chr12_KL568038v1_random
KL568039.1	chr12_KL568039v1_random
KL568040.1	chr12_KL568040v1_random
AABR07050784.1	chr13_AABR07050784v1_random
KL568041.1	chr13_KL568041v1_random
KL568042.1	chr13_KL568042v1_random
KL568043.1	chr13_KL568043v1_random
KL568044.1	chr13_KL568044v1_random
KL568045.1	chr13_KL568045v1_random
KL568046.1	chr13_KL568046v1_random
KL568047.1	chr13_KL568047v1_random
KL568048.1	chr13_KL568048v1_random
KL568049.1	chr13_KL568049v1_random
KL568050.1	chr13_KL568050v1_random
KL568051.1	chr13_KL568051v1_random
KL568052.1	chr14_KL568052v1_random
KL568053.1	chr14_KL568053v1_random
KL568054.1	chr14_KL568054v1_random
KL568055.1	chr14_KL568055v1_random
KL568056.1	chr14_KL568056v1_random
KL568057.1	chr14_KL568057v1_random
KL568058.1	chr14_KL568058v1_random
KL568059.1	chr14_KL568059v1_random
KL568060.1	chr14_KL568060v1_random
KL568061.1	chr14_KL568061v1_random
AABR07046563.1	chr15_AABR07046563v1_random
KL568062.1	chr15_KL568062v1_random
KL568063.1	chr15_KL568063v1_random
KL568064.1	chr15_KL568064v1_random
KL568065.1	chr15_KL568065v1_random
KL568066.1	chr15_KL568066v1_random
KL568067.1	chr15_KL568067v1_random
KL568068.1	chr15_KL568068v1_random
KL568069.1	chr15_KL568069v1_random
KL568070.1	chr15_KL568070v1_random
KL568071.1	chr15_KL568071v1_random
KL568072.1	chr15_KL568072v1_random
KL568073.1	chr15_KL568073v1_random
KL568074.1	chr15_KL568074v1_random
AABR07050959.1	chr16_AABR07050959v1_random
AABR07050985.1	chr16_AABR07050985v1_random
AABR07050986.1	chr16_AABR07050986v1_random
AABR07050989.1	chr16_AABR07050989v1_random
KL568075.1	chr16_KL568075v1_random
KL568076.1	chr16_KL568076v1_random
KL568077.1	chr16_KL568077v1_random
KL568078.1	chr16_KL568078v1_random
KL568079.1	chr16_KL568079v1_random
KL568080.1	chr16_KL568080v1_random
KL568081.1	chr16_KL568081v1_random
KL568082.1	chr16_KL568082v1_random
AABR07050910.1	chr17_AABR07050910v1_random
