1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
MT	chrM
GL000191.1	chr1_gl000191_random
GL000192.1	chr1_gl000192_random
GL000193.1	chr4_gl000193_random
GL000194.1	chr4_gl000194_random
GL000195.1	chr7_gl000195_random
GL000196.1	chr8_gl000196_random
GL000197.1	chr8_gl000197_random
GL000198.1	chr9_gl000198_random
GL000199.1	chr9_gl000199_random
GL000200.1	chr9_gl000200_random
GL000201.1	chr9_gl000201_random
GL000202.1	chr11_gl000202_random
GL000203.1	chr17_gl000203_random
GL000204.1	chr17_gl000204_random
GL000205.1	chr17_gl000205_random
GL000206.1	chr17_gl000206_random
GL000207.1	chr18_gl000207_random
GL000208.1	chr19_gl000208_random
GL000209.1	chr19_gl000209_random
GL000210.1	chr21_gl000210_random
GL000211.1	chrUn_gl000211
GL000212.1	chrUn_gl000212
GL000213.1	chrUn_gl000213
GL000214.1	chrUn_gl000214
GL000215.1	chrUn_gl000215
GL000216.1	chrUn_gl000216
GL000217.1	chrUn_gl000217
GL000218.1	chrUn_gl000218
GL000219.1	chrUn_gl000219
GL000220.1	chrUn_gl000220
GL000221.1	chrUn_gl000221
GL000222.1	chrUn_gl000222
GL000223.1	chrUn_gl000223
GL000224.1	chrUn_gl000224
GL000225.1	chrUn_gl000225
GL000226.1	chrUn_gl000226
GL000227.1	chrUn_gl000227
GL000228.1	chrUn_gl000228
GL000229.1	chrUn_gl000229
GL000230.1	chrUn_gl000230
GL000231.1	chrUn_gl000231
GL000232.1	chrUn_gl000232
GL000233.1	chrUn_gl000233
GL000234.1	chrUn_gl000234
GL000235.1	chrUn_gl000235
GL000236.1	chrUn_gl000236
GL000237.1	chrUn_gl000237
GL000238.1	chrUn_gl000238
GL000239.1	chrUn_gl000239
GL000240.1	chrUn_gl000240
GL000241.1	chrUn_gl000241
GL000242.1	chrUn_gl000242
GL000243.1	chrUn_gl000243
GL000244.1	chrUn_gl000244
GL000245.1	chrUn_gl000245
GL000246.1	chrUn_gl000246
GL000247.1	chrUn_gl000247
GL000248.1	chrUn_gl000248
GL000249.1	chrUn_gl000249
HG1007_PATCH	
HG1032_PATCH	
HG104_HG975_PATCH	
HG1063_PATCH	
HG1074_PATCH	
HG1079_PATCH	
HG1082_HG167_PATCH	
HG1091_PATCH	
HG1133_PATCH	
HG1146_PATCH	
HG115_PATCH	
HG1208_PATCH	
HG1211_PATCH	
HG122_PATCH	
HG1257_PATCH	
HG1287_PATCH	
HG1292_PATCH	
HG1293_PATCH	
HG1304_PATCH	
HG1308_PATCH	
HG1322_PATCH	
HG1350_HG959_PATCH	
HG1423_PATCH	
HG1424_PATCH	
HG1425_PATCH	
HG1426_PATCH	
HG142_HG150_NOVEL_TEST	
HG1433_PATCH	
HG1434_PATCH	
HG1435_PATCH	
HG1436_HG1432_PATCH	
HG1437_PATCH	
HG1438_PATCH	
HG1439_PATCH	
HG1440_PATCH	
HG1441_PATCH	
HG1442_PATCH	
HG1443_HG1444_PATCH	
HG144_PATCH	
HG1453_PATCH	
HG1458_PATCH	
HG1459_PATCH	
HG1462_PATCH	
HG1463_PATCH	
HG1471_PATCH	
HG1472_PATCH	
HG1473_PATCH	
HG1479_PATCH	
HG1486_PATCH	
HG1487_PATCH	
HG1488_PATCH	
HG1490_PATCH	
HG1497_PATCH	
HG14_PATCH	
HG1500_PATCH	
HG1501_PATCH	
HG1502_PATCH	
HG151_NOVEL_TEST	
HG1591_PATCH	
HG1592_PATCH	
HG1595_PATCH	
HG1699_PATCH	
HG174_HG254_PATCH	
HG183_PATCH	
HG185_PATCH	
HG186_PATCH	
HG193_PATCH	
HG19_PATCH	
HG237_PATCH	
HG243_PATCH	
HG256_PATCH	
HG271_PATCH	
HG27_PATCH	
HG280_PATCH	
HG281_PATCH	
HG299_PATCH	
HG29_PATCH	
HG305_PATCH	
HG306_PATCH	
HG311_PATCH	
HG325_PATCH	
HG329_PATCH	
HG339_PATCH	
HG344_PATCH	
HG348_PATCH	
HG357_PATCH	
HG375_PATCH	
HG385_PATCH	
HG388_HG400_PATCH	
HG414_PATCH	
HG417_PATCH	
HG418_PATCH	
HG444_PATCH	
HG480_HG481_PATCH	
HG497_PATCH	
HG506_HG507_HG1000_PATCH	
HG50_PATCH	
HG531_PATCH	
HG536_PATCH	
HG544_PATCH	
HG686_PATCH	
HG706_PATCH	
HG729_PATCH	
HG730_PATCH	
HG736_PATCH	
HG745_PATCH	
HG747_PATCH	
HG748_PATCH	
HG75_PATCH	
HG79_PATCH	
HG7_PATCH	
HG858_PATCH	
HG865_PATCH	
HG871_PATCH	
HG873_PATCH	
HG883_PATCH	
HG905_PATCH	
HG944_PATCH	
HG946_PATCH	
HG953_PATCH	
HG957_PATCH	
HG962_PATCH	
HG971_PATCH	
HG979_PATCH	
HG987_PATCH	
HG989_PATCH	
HG990_PATCH	
HG991_PATCH	
HG995_PATCH	
HG996_PATCH	
HG998_1_PATCH	
HG998_2_PATCH	
HG999_1_PATCH	
HG999_2_PATCH	
HSCHR10_1_CTG2	
HSCHR10_1_CTG5	
HSCHR11_1_CTG1_1	
HSCHR1_1_CTG31	
HSCHR12_1_CTG1	
HSCHR12_1_CTG2	
HSCHR12_1_CTG2_1	
HSCHR12_1_CTG5	
HSCHR12_2_CTG2	
HSCHR12_2_CTG2_1	
HSCHR12_3_CTG2_1	
HSCHR1_2_CTG31	
HSCHR1_3_CTG31	
HSCHR15_1_CTG4	
HSCHR15_1_CTG8	
HSCHR16_1_CTG3_1	
HSCHR16_2_CTG3_1	
HSCHR17_1_CTG1	
HSCHR17_1_CTG4	
HSCHR17_2_CTG4	
HSCHR17_3_CTG4	
HSCHR17_4_CTG4	
HSCHR17_5_CTG4	
HSCHR17_6_CTG4	
HSCHR18_1_CTG1_1	
HSCHR18_1_CTG2	
HSCHR18_1_CTG2_1	
HSCHR18_2_CTG1_1	
HSCHR18_2_CTG2	
HSCHR18_2_CTG2_1	
HSCHR19_1_CTG3	
HSCHR19_1_CTG3_1	
HSCHR19_2_CTG3	
HSCHR19_3_CTG3	
HSCHR19LRC_COX1_CTG1	
HSCHR19LRC_COX2_CTG1	
HSCHR19LRC_LRC_I_CTG1	
HSCHR19LRC_LRC_J_CTG1	
HSCHR19LRC_LRC_S_CTG1	
HSCHR19LRC_LRC_T_CTG1	
HSCHR19LRC_PGF1_CTG1	
HSCHR19LRC_PGF2_CTG1	
HSCHR20_1_CTG1	
HSCHR21_1_CTG1_1	
HSCHR21_2_CTG1_1	
HSCHR21_3_CTG1_1	
HSCHR21_4_CTG1_1	
HSCHR2_1_CTG1	
HSCHR2_1_CTG12	
HSCHR22_1_CTG1	
HSCHR22_1_CTG2	
HSCHR22_2_CTG1	
HSCHR2_2_CTG12	
HSCHR3_1_CTG1	
HSCHR3_1_CTG2_1	
HSCHR4_1_CTG12	
HSCHR4_1_CTG6	
HSCHR4_2_CTG9	
HSCHR5_1_CTG1	
HSCHR5_1_CTG2	
HSCHR5_1_CTG5	
HSCHR5_2_CTG1	
HSCHR5_3_CTG1	
HSCHR6_1_CTG5	
HSCHR6_2_CTG5	
HSCHR7_1_CTG6	
HSCHR9_1_CTG1	
HSCHR9_1_CTG35	
HSCHR9_2_CTG35	
HSCHR9_3_CTG35	
HSCHR4_1	chr4_ctg9_hap1
HSCHR6_MHC_APD	chr6_apd_hap1
HSCHR6_MHC_COX	chr6_cox_hap2
HSCHR6_MHC_DBB	chr6_dbb_hap3
HSCHR6_MHC_MANN	chr6_mann_hap4
HSCHR6_MHC_MCF	chr6_mcf_hap5
HSCHR6_MHC_QBL	chr6_qbl_hap6
HSCHR6_MHC_SSTO	chr6_ssto_hap7
HSCHR17_1	chr17_ctg5_hap1
