chr1	1
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr2	2
chr20	20
chr21	21
chr22	22
chr23	23
chr24	24
chr25	25
chr26	26
chr27	27
chr28	28
chr29	29
chr3	3
chr30	30
chr31	31
chr32	32
chr33	33
chr34	34
chr35	35
chr36	36
chr37	37
chr38	38
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chrM	MT
chrUn_AAEX03018827	AAEX03018827.1
chrUn_AAEX03019065	AAEX03019065.1
chrUn_AAEX03019090	AAEX03019090.1
chrUn_AAEX03019097	AAEX03019097.1
chrUn_AAEX03019222	AAEX03019222.1
chrUn_AAEX03019231	AAEX03019231.1
chrUn_AAEX03019240	AAEX03019240.1
chrUn_AAEX03019241	AAEX03019241.1
chrUn_AAEX03019307	AAEX03019307.1
chrUn_AAEX03019339	AAEX03019339.1
chrUn_AAEX03019340	AAEX03019340.1
chrUn_AAEX03019341	AAEX03019341.1
chrUn_AAEX03019443	AAEX03019443.1
chrUn_AAEX03019490	AAEX03019490.1
chrUn_AAEX03019491	AAEX03019491.1
chrUn_AAEX03019492	AAEX03019492.1
chrUn_AAEX03019535	AAEX03019535.1
chrUn_AAEX03019548	AAEX03019548.1
chrUn_AAEX03019560	AAEX03019560.1
chrUn_AAEX03019681	AAEX03019681.1
chrUn_AAEX03019691	AAEX03019691.1
chrUn_AAEX03019738	AAEX03019738.1
chrUn_AAEX03019763	AAEX03019763.1
chrUn_AAEX03019872	AAEX03019872.1
chrUn_AAEX03019893	AAEX03019893.1
chrUn_AAEX03019987	AAEX03019987.1
chrUn_AAEX03020051	AAEX03020051.1
chrUn_AAEX03020054	AAEX03020054.1
chrUn_AAEX03020055	AAEX03020055.1
chrUn_AAEX03020056	AAEX03020056.1
chrUn_AAEX03020060	AAEX03020060.1
chrUn_AAEX03020068	AAEX03020068.1
chrUn_AAEX03020105	AAEX03020105.1
chrUn_AAEX03020144	AAEX03020144.1
chrUn_AAEX03020161	AAEX03020161.1
chrUn_AAEX03020170	AAEX03020170.1
chrUn_AAEX03020242	AAEX03020242.1
chrUn_AAEX03020251	AAEX03020251.1
chrUn_AAEX03020335	AAEX03020335.1
chrUn_AAEX03020381	AAEX03020381.1
chrUn_AAEX03020403	AAEX03020403.1
chrUn_AAEX03020427	AAEX03020427.1
chrUn_AAEX03020436	AAEX03020436.1
chrUn_AAEX03020482	AAEX03020482.1
chrUn_AAEX03020487	AAEX03020487.1
chrUn_AAEX03020497	AAEX03020497.1
chrUn_AAEX03020524	AAEX03020524.1
chrUn_AAEX03020525	AAEX03020525.1
chrUn_AAEX03020533	AAEX03020533.1
chrUn_AAEX03020568	AAEX03020568.1
chrUn_AAEX03020574	AAEX03020574.1
chrUn_AAEX03020588	AAEX03020588.1
chrUn_AAEX03020610	AAEX03020610.1
chrUn_AAEX03020671	AAEX03020671.1
chrUn_AAEX03020700	AAEX03020700.1
chrUn_AAEX03020701	AAEX03020701.1
chrUn_AAEX03020729	AAEX03020729.1
chrUn_AAEX03020760	AAEX03020760.1
chrUn_AAEX03020761	AAEX03020761.1
chrUn_AAEX03020831	AAEX03020831.1
chrUn_AAEX03020839	AAEX03020839.1
chrUn_AAEX03020840	AAEX03020840.1
chrUn_AAEX03020896	AAEX03020896.1
chrUn_AAEX03020910	AAEX03020910.1
chrUn_AAEX03020926	AAEX03020926.1
