chr1	1
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr2	2
chr20	20
chr21	21
chr22	22
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chrM	MT
chrX	X
chrY	Y
GL000008.2	GL000008.2
GL000009.2	GL000009.2
GL000194.1	GL000194.1
GL000195.1	GL000195.1
GL000205.2	GL000205.2
GL000208.1	GL000208.1
GL000209.2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
GL000213.1	GL000213.1
GL000214.1	GL000214.1
GL000216.2	GL000216.2
GL000218.1	GL000218.1
GL000219.1	GL000219.1
GL000220.1	GL000220.1
GL000221.1	GL000221.1
GL000224.1	GL000224.1
GL000225.1	GL000225.1
GL000226.1	GL000226.1
GL000250.2	CHR_HSCHR6_MHC_APD_CTG1
GL000251.2	CHR_HSCHR6_MHC_COX_CTG1
GL000252.2	CHR_HSCHR6_MHC_DBB_CTG1
GL000253.2	CHR_HSCHR6_MHC_MANN_CTG1
GL000254.2	CHR_HSCHR6_MHC_MCF_CTG1
GL000255.2	CHR_HSCHR6_MHC_QBL_CTG1
GL000256.2	CHR_HSCHR6_MHC_SSTO_CTG1
GL000257.2	CHR_HSCHR4_1_CTG9
GL000258.2	CHR_HSCHR17_1_CTG5
GL339449.2	CHR_HSCHR5_2_CTG1_1
GL383518.1	CHR_HSCHR1_1_CTG31
GL383519.1	CHR_HSCHR1_2_CTG31
GL383520.2	CHR_HSCHR1_3_CTG31
GL383521.1	CHR_HSCHR2_1_CTG5
GL383522.1	CHR_HSCHR2_1_CTG7_2
GL383526.1	CHR_HSCHR3_1_CTG2_1
GL383527.1	CHR_HSCHR4_1_CTG12
GL383528.1	CHR_HSCHR4_1_CTG6
GL383530.1	CHR_HSCHR5_3_CTG1_1
GL383531.1	CHR_HSCHR5_1_CTG5
GL383532.1	CHR_HSCHR5_1_CTG1
GL383533.1	CHR_HSCHR6_1_CTG2
GL383534.2	CHR_HSCHR7_1_CTG6
GL383539.1	CHR_HSCHR9_1_CTG1
GL383540.1	CHR_HSCHR9_1_CTG2
GL383541.1	CHR_HSCHR9_1_CTG3
GL383542.1	CHR_HSCHR9_1_CTG4
GL383545.1	CHR_HSCHR10_1_CTG1
GL383546.1	CHR_HSCHR10_1_CTG2
GL383547.1	CHR_HSCHR11_1_CTG1_1
GL383549.1	CHR_HSCHR12_1_CTG2
GL383550.2	CHR_HSCHR12_1_CTG2_1
GL383551.1	CHR_HSCHR12_4_CTG2_1
GL383552.1	CHR_HSCHR12_2_CTG2_1
GL383553.2	CHR_HSCHR12_3_CTG2_1
GL383554.1	CHR_HSCHR15_1_CTG8
GL383555.2	CHR_HSCHR15_2_CTG8
GL383556.1	CHR_HSCHR16_1_CTG3_1
GL383557.1	CHR_HSCHR16_2_CTG3_1
GL383563.3	CHR_HSCHR17_1_CTG1
GL383564.2	CHR_HSCHR17_1_CTG4
GL383565.1	CHR_HSCHR17_2_CTG4
GL383566.1	CHR_HSCHR17_3_CTG4
GL383567.1	CHR_HSCHR18_1_CTG1_1
GL383568.1	CHR_HSCHR18_1_CTG2
GL383569.1	CHR_HSCHR18_1_CTG2_1
GL383570.1	CHR_HSCHR18_2_CTG1_1
GL383571.1	CHR_HSCHR18_2_CTG2
GL383572.1	CHR_HSCHR18_2_CTG2_1
GL383573.1	CHR_HSCHR19_1_CTG2
