1	chr1
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
2	chr2
20	chr20
21	chr21
22	chr22
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
CHR_HG107_PATCH	
CHR_HG126_PATCH	
CHR_HG1311_PATCH	
CHR_HG1342_HG2282_PATCH	
CHR_HG1362_PATCH	
CHR_HG142_HG150_NOVEL_TEST	
CHR_HG151_NOVEL_TEST	
CHR_HG1651_PATCH	
CHR_HG1708_PATCH	
CHR_HG1832_PATCH	
CHR_HG2021_PATCH	
CHR_HG2022_PATCH	
CHR_HG2023_PATCH	
CHR_HG2030_PATCH	
CHR_HG2046_PATCH	
CHR_HG2058_PATCH	
CHR_HG2062_PATCH	
CHR_HG2063_PATCH	
CHR_HG2066_PATCH	
CHR_HG2067_PATCH	
CHR_HG2068_PATCH	
CHR_HG2072_PATCH	
CHR_HG2088_PATCH	
CHR_HG2095_PATCH	
CHR_HG2104_PATCH	
CHR_HG2116_PATCH	
CHR_HG2121_PATCH	
CHR_HG2128_PATCH	
CHR_HG2139_PATCH	
CHR_HG2191_PATCH	
CHR_HG2213_PATCH	
CHR_HG2216_PATCH	
CHR_HG2217_PATCH	
CHR_HG2232_PATCH	
CHR_HG2233_PATCH	
CHR_HG2235_PATCH	
CHR_HG2236_PATCH	
CHR_HG2237_PATCH	
CHR_HG2239_PATCH	
CHR_HG2241_PATCH	
CHR_HG2242_HG2243_PATCH	
CHR_HG2244_HG2245_PATCH	
CHR_HG2247_PATCH	
CHR_HG2249_PATCH	
CHR_HG2266_PATCH	
CHR_HG2285_HG106_HG2252_PATCH	
CHR_HG2288_HG2289_PATCH	
CHR_HG2290_PATCH	
CHR_HG2291_PATCH	
CHR_HG2334_PATCH	
CHR_HG23_PATCH	
CHR_HG26_PATCH	
CHR_HG30_PATCH	
CHR_HG926_PATCH	
CHR_HG986_PATCH	
CHR_HSCHR10_1_CTG1	
CHR_HSCHR10_1_CTG2	
CHR_HSCHR10_1_CTG3	
CHR_HSCHR10_1_CTG4	
CHR_HSCHR10_1_CTG6	
CHR_HSCHR11_1_CTG1_1	
CHR_HSCHR11_1_CTG1_2	
CHR_HSCHR11_1_CTG2	
CHR_HSCHR11_1_CTG3	
CHR_HSCHR11_1_CTG5	
CHR_HSCHR11_1_CTG6	
CHR_HSCHR11_1_CTG7	
CHR_HSCHR11_1_CTG8	
CHR_HSCHR11_2_CTG1	
CHR_HSCHR11_2_CTG1_1	
CHR_HSCHR11_3_CTG1	
CHR_HSCHR12_1_CTG1	
CHR_HSCHR12_1_CTG2	
CHR_HSCHR12_1_CTG2_1	
CHR_HSCHR12_2_CTG1	
CHR_HSCHR12_2_CTG2	
CHR_HSCHR12_2_CTG2_1	
CHR_HSCHR12_3_CTG2	
CHR_HSCHR12_3_CTG2_1	
CHR_HSCHR12_4_CTG2	
CHR_HSCHR12_4_CTG2_1	
CHR_HSCHR12_5_CTG2	
CHR_HSCHR12_5_CTG2_1	
CHR_HSCHR12_6_CTG2_1	
CHR_HSCHR12_7_CTG2_1	
CHR_HSCHR13_1_CTG1	
CHR_HSCHR13_1_CTG2	
CHR_HSCHR13_1_CTG3	
CHR_HSCHR13_1_CTG4	
CHR_HSCHR13_1_CTG5	
CHR_HSCHR13_1_CTG6	
CHR_HSCHR13_1_CTG7	
CHR_HSCHR13_1_CTG8	
CHR_HSCHR14_1_CTG1	
CHR_HSCHR14_2_CTG1	
CHR_HSCHR14_3_CTG1	
CHR_HSCHR14_7_CTG1	
CHR_HSCHR15_1_CTG1	
CHR_HSCHR15_1_CTG3	
CHR_HSCHR15_1_CTG8	
CHR_HSCHR15_2_CTG3	
CHR_HSCHR15_2_CTG8	
CHR_HSCHR15_3_CTG3	
CHR_HSCHR15_3_CTG8	
CHR_HSCHR15_4_CTG8	
CHR_HSCHR15_5_CTG8	
CHR_HSCHR15_6_CTG8	
CHR_HSCHR16_1_CTG1	
CHR_HSCHR16_1_CTG3_1	
CHR_HSCHR16_2_CTG3_1	
CHR_HSCHR16_3_CTG1	
CHR_HSCHR16_3_CTG3_1	
CHR_HSCHR16_4_CTG1	
CHR_HSCHR16_4_CTG3_1	
CHR_HSCHR16_5_CTG1	
CHR_HSCHR16_CTG2	
CHR_HSCHR17_10_CTG4	
CHR_HSCHR17_11_CTG4	
CHR_HSCHR17_1_CTG1	
CHR_HSCHR17_1_CTG2	
CHR_HSCHR17_1_CTG4	
CHR_HSCHR17_1_CTG5	
CHR_HSCHR17_1_CTG9	
CHR_HSCHR17_2_CTG1	
CHR_HSCHR17_2_CTG2	
CHR_HSCHR17_2_CTG4	
CHR_HSCHR17_2_CTG5	
CHR_HSCHR17_3_CTG1	
CHR_HSCHR17_3_CTG2	
CHR_HSCHR17_3_CTG4	
CHR_HSCHR17_4_CTG4	
CHR_HSCHR17_5_CTG4	
CHR_HSCHR17_6_CTG4	
CHR_HSCHR17_7_CTG4	
CHR_HSCHR17_8_CTG4	
CHR_HSCHR17_9_CTG4	
CHR_HSCHR18_1_CTG1_1	
CHR_HSCHR18_1_CTG2	
CHR_HSCHR18_1_CTG2_1	
CHR_HSCHR18_2_CTG1_1	
CHR_HSCHR18_2_CTG2	
CHR_HSCHR18_2_CTG2_1	
CHR_HSCHR18_3_CTG2_1	
CHR_HSCHR18_4_CTG1_1	
CHR_HSCHR18_5_CTG1_1	
CHR_HSCHR18_ALT21_CTG2_1	
CHR_HSCHR18_ALT2_CTG2_1	
CHR_HSCHR19_1_CTG2	
CHR_HSCHR19_1_CTG3_1	
CHR_HSCHR19_2_CTG2	
CHR_HSCHR19_2_CTG3_1	
CHR_HSCHR19_3_CTG2	
CHR_HSCHR19_3_CTG3_1	
CHR_HSCHR19_4_CTG2	
CHR_HSCHR19_4_CTG3_1	
CHR_HSCHR19_5_CTG2	
