1	chr1
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
CHR_MG117_PATCH	
CHR_MG132_PATCH	
CHR_MG153_PATCH	
CHR_MG171_PATCH	
CHR_MG184_PATCH	
CHR_MG190_MG3751_PATCH	
CHR_MG191_PATCH	
CHR_MG3172_PATCH	
CHR_MG3231_PATCH	
CHR_MG3251_PATCH	
CHR_MG3496_PATCH	
CHR_MG3561_PATCH	
CHR_MG3562_PATCH	
CHR_MG3609_PATCH	
CHR_MG3829_PATCH	
CHR_MG3833_MG4220_PATCH	
CHR_MG3835_PATCH	
CHR_MG3836_PATCH	
CHR_MG3999_PATCH	
CHR_MG4136_PATCH	
CHR_MG4151_PATCH	
CHR_MG4180_PATCH	
CHR_MG4209_PATCH	
CHR_MG4211_PATCH	
CHR_MG4212_PATCH	
CHR_MG4213_PATCH	
CHR_MG4214_PATCH	
CHR_MG4222_MG3908_PATCH	
CHR_MG4237_PATCH	
CHR_MG4248_PATCH	
CHR_MG4249_PATCH	
CHR_MG4254_PATCH	
CHR_MG4255_PATCH	
CHR_MG4259_PATCH	
CHR_MG4261_PATCH	
CHR_MG4264_PATCH	
CHR_MG4265_PATCH	
CHR_MG4266_PATCH	
CHR_MG4281_PATCH	
CHR_MG4288_PATCH	
CHR_MG65_PATCH	
CHR_MMCHR1_CHORI29_IDD5_1	
GL456210.1	chr1_GL456210_random
GL456211.1	chr1_GL456211_random
GL456212.1	chr1_GL456212_random
GL456213.1	chr1_GL456213_random
GL456216.1	chr4_GL456216_random
GL456219.1	chr7_GL456219_random
GL456221.1	chr1_GL456221_random
GL456233.1	chrX_GL456233_random
GL456239.1	chrUn_GL456239
GL456350.1	chr4_GL456350_random
GL456354.1	chr5_GL456354_random
GL456359.1	chrUn_GL456359
GL456360.1	chrUn_GL456360
GL456366.1	chrUn_GL456366
GL456367.1	chrUn_GL456367
GL456368.1	chrUn_GL456368
GL456370.1	chrUn_GL456370
GL456372.1	chrUn_GL456372
GL456378.1	chrUn_GL456378
GL456379.1	chrUn_GL456379
GL456381.1	chrUn_GL456381
GL456382.1	chrUn_GL456382
GL456383.1	chrUn_GL456383
GL456385.1	chrUn_GL456385
GL456387.1	chrUn_GL456387
GL456389.1	chrUn_GL456389
GL456390.1	chrUn_GL456390
GL456392.1	chrUn_GL456392
GL456393.1	chrUn_GL456393
GL456394.1	chrUn_GL456394
GL456396.1	chrUn_GL456396
JH584292.1	chr4_JH584292_random
JH584293.1	chr4_JH584293_random
JH584294.1	chr4_JH584294_random
JH584295.1	chr4_JH584295_random
JH584296.1	chr5_JH584296_random
JH584297.1	chr5_JH584297_random
JH584298.1	chr5_JH584298_random
JH584299.1	chr5_JH584299_random
JH584300.1	chrY_JH584300_random
JH584301.1	chrY_JH584301_random
JH584302.1	chrY_JH584302_random
JH584303.1	chrY_JH584303_random
JH584304.1	chrUn_JH584304
MT	chrM
X	chrX
Y	chrY
