1	chr1
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
MT	chrM
NT_053651	NT_053651
NT_072868	NT_072868
NT_109319	NT_109319
NT_110857	NT_110857
NT_112000	NT_112000
NT_161866	NT_161866
NT_161868	NT_161868
NT_161872	NT_161872
NT_161875	NT_161875
NT_161877	NT_161877
NT_161879	NT_161879
NT_161885	NT_161885
NT_161892	NT_161892
NT_161895	NT_161895
NT_161897	NT_161897
NT_161898	NT_161898
NT_161902	NT_161902
NT_161904	NT_161904
NT_161906	NT_161906
NT_161911	NT_161911
NT_161913	NT_161913
NT_161916	NT_161916
NT_161919	NT_161919
NT_161923	NT_161923
NT_161924	NT_161924
NT_161925	NT_161925
NT_161926	NT_161926
NT_161928	NT_161928
NT_161937	NT_161937
NT_162750	NT_162750
NT_165754	NT_165754
NT_165789	NT_165789
NT_165790	NT_165790
NT_165791	NT_165791
NT_165792	NT_165792
NT_165793	NT_165793
NT_165794	NT_165794
NT_165795	NT_165795
NT_165796	NT_165796
NT_165798	NT_165798
NT_166280	NT_166280
NT_166281	NT_166281
NT_166282	NT_166282
NT_166283	NT_166283
NT_166286	NT_166286
NT_166290	NT_166290
NT_166291	NT_166291
NT_166303	NT_166303
NT_166307	NT_166307
NT_166308	NT_166308
NT_166309	NT_166309
NT_166310	NT_166310
NT_166311	NT_166311
NT_166313	NT_166313
NT_166314	NT_166314
NT_166323	NT_166323
NT_166325	NT_166325
NT_166326	NT_166326
NT_166327	NT_166327
NT_166328	NT_166328
NT_166333	NT_166333
NT_166334	NT_166334
NT_166335	NT_166335
NT_166336	NT_166336
NT_166337	NT_166337
NT_166338	NT_166338
NT_166339	NT_166339
NT_166340	NT_166340
NT_166341	NT_166341
NT_166342	NT_166342
NT_166344	NT_166344
NT_166345	NT_166345
NT_166346	NT_166346
NT_166347	NT_166347
NT_166348	NT_166348
NT_166349	NT_166349
NT_166350	NT_166350
NT_166351	NT_166351
NT_166352	NT_166352
NT_166353	NT_166353
NT_166354	NT_166354
NT_166356	NT_166356
NT_166357	NT_166357
NT_166358	NT_166358
NT_166359	NT_166359
NT_166360	NT_166360
NT_166361	NT_166361
NT_166362	NT_166362
NT_166363	NT_166363
NT_166364	NT_166364
NT_166365	NT_166365
NT_166366	NT_166366
NT_166367	NT_166367
NT_166368	NT_166368
NT_166369	NT_166369
NT_166370	NT_166370
NT_166371	NT_166371
NT_166372	NT_166372
NT_166373	NT_166373
NT_166374	NT_166374
NT_166375	NT_166375
NT_166376	NT_166376
NT_166377	NT_166377
NT_166378	NT_166378
NT_166379	NT_166379
NT_166380	NT_166380
NT_166381	NT_166381
NT_166382	NT_166382
NT_166383	NT_166383
NT_166384	NT_166384
NT_166385	NT_166385
NT_166386	NT_166386
NT_166387	NT_166387
NT_166388	NT_166388
NT_166389	NT_166389
NT_166390	NT_166390
NT_166391	NT_166391
NT_166392	NT_166392
NT_166402	NT_166402
NT_166403	NT_166403
NT_166404	NT_166404
NT_166405	NT_166405
NT_166406	NT_166406
NT_166407	NT_166407
NT_166408	NT_166408
NT_166409	NT_166409
NT_166410	NT_166410
NT_166412	NT_166412
NT_166413	NT_166413
NT_166414	NT_166414
NT_166415	NT_166415
NT_166416	NT_166416
NT_166417	NT_166417
NT_166418	NT_166418
NT_166419	NT_166419
NT_166420	NT_166420
NT_166421	NT_166421
NT_166422	NT_166422
NT_166423	NT_166423
NT_166424	NT_166424
NT_166433	NT_166433
NT_166434	NT_166434
NT_166435	NT_166435
NT_166436	NT_166436
NT_166437	NT_166437
NT_166438	NT_166438
NT_166439	NT_166439
NT_166440	NT_166440
NT_166441	NT_166441
NT_166442	NT_166442
NT_166443	NT_166443
NT_166444	NT_166444
NT_166445	NT_166445
NT_166446	NT_166446
NT_166447	NT_166447
NT_166448	NT_166448
NT_166449	NT_166449
NT_166450	NT_166450
NT_166451	NT_166451
NT_166452	NT_166452
NT_166453	NT_166453
NT_166454	NT_166454
NT_166455	NT_166455
NT_166456	NT_166456
NT_166457	NT_166457
NT_166458	NT_166458
NT_166459	NT_166459
NT_166460	NT_166460
NT_166461	NT_166461
NT_166462	NT_166462
NT_166463	NT_166463
NT_166464	NT_166464
NT_166465	NT_166465
NT_166466	NT_166466
NT_166467	NT_166467
NT_166468	NT_166468
NT_166469	NT_166469
NT_166470	NT_166470
NT_166471	NT_166471
NT_166472	NT_166472
NT_166473	NT_166473
NT_166474	NT_166474
NT_166475	NT_166475
NT_166476	NT_166476
NT_166477	NT_166477
NT_166478	NT_166478
NT_166479	NT_166479
NT_166480	NT_166480
NT_166481	NT_166481
X	chrX
Y	chrY
