chr1	NC_006088.5
chr2	NC_006089.5
chr3	NC_006090.5
chr4	NC_006091.5
chr5	NC_006092.5
chr6	NC_006093.5
chr7	NC_006094.5
chr8	NC_006095.5
chr9	NC_006096.5
chr10	NC_006097.5
chr11	NC_006098.5
chr12	NC_006099.5
chr13	NC_006100.5
chr14	NC_006101.5
chr15	NC_006102.5
chr16	NC_006103.5
chr17	NC_006104.5
chr18	NC_006105.5
chr19	NC_006106.5
chr20	NC_006107.5
chr21	NC_006108.5
chr22	NC_006109.5
chr23	NC_006110.5
chr24	NC_006111.5
chr25	NC_006112.4
chr26	NC_006113.5
chr27	NC_006114.5
chr28	NC_006115.5
chr30	NC_028739.2
chr31	NC_028740.2
chr32	NC_006119.4
chr33	NC_008465.4
chrW	NC_006126.5
chrZ	NC_006127.5
chr1_NW_020109739v1_random	NW_020109739.1
chr1_NW_020109740v1_random	NW_020109740.1
chr1_NW_020109737v1_random	NW_020109737.1
chr1_NW_020109742v1_random	NW_020109742.1
chr1_NW_020109741v1_random	NW_020109741.1
chr1_NW_020109743v1_random	NW_020109743.1
chr1_NW_020109738v1_random	NW_020109738.1
chr3_NW_020109745v1_random	NW_020109745.1
chr3_NW_020109746v1_random	NW_020109746.1
chr3_NW_020109747v1_random	NW_020109747.1
chr3_NW_020109744v1_random	NW_020109744.1
chr6_NW_020109750v1_random	NW_020109750.1
chr6_NW_020109753v1_random	NW_020109753.1
chr6_NW_020109751v1_random	NW_020109751.1
chr6_NW_020109752v1_random	NW_020109752.1
chr6_NW_020109748v1_random	NW_020109748.1
chr6_NW_020109749v1_random	NW_020109749.1
chr9_NW_020109754v1_random	NW_020109754.1
chr13_NW_020109755v1_random	NW_020109755.1
chr14_NW_020109756v1_random	NW_020109756.1
chr15_NW_020109757v1_random	NW_020109757.1
chr16_NW_020109758v1_random	NW_020109758.1
chr19_NW_020109759v1_random	NW_020109759.1
chr22_NW_020109760v1_random	NW_020109760.1
chr23_NW_020109766v1_random	NW_020109766.1
chr23_NW_020109765v1_random	NW_020109765.1
chr23_NW_020109764v1_random	NW_020109764.1
chr23_NW_020109763v1_random	NW_020109763.1
chr23_NW_020109762v1_random	NW_020109762.1
chr23_NW_020109761v1_random	NW_020109761.1
chr25_NW_020109767v1_random	NW_020109767.1
chr28_NW_020109768v1_random	NW_020109768.1
chr31_NW_020109769v1_random	NW_020109769.1
chr31_NW_020109771v1_random	NW_020109771.1
chr31_NW_020109770v1_random	NW_020109770.1
chr33_NW_020109772v1_random	NW_020109772.1
chrW_NW_020109776v1_random	NW_020109776.1
chrW_NW_020109805v1_random	NW_020109805.1
chrW_NW_020109791v1_random	NW_020109791.1
chrW_NW_020109777v1_random	NW_020109777.1
chrW_NW_020109812v1_random	NW_020109812.1
chrW_NW_020109800v1_random	NW_020109800.1
chrW_NW_020109796v1_random	NW_020109796.1
chrW_NW_020109778v1_random	NW_020109778.1
chrW_NW_020109826v1_random	NW_020109826.1
chrW_NW_020109804v1_random	NW_020109804.1
chrW_NW_020109814v1_random	NW_020109814.1
chrW_NW_020109782v1_random	NW_020109782.1
chrW_NW_020109823v1_random	NW_020109823.1
chrW_NW_020109822v1_random	NW_020109822.1
chrW_NW_020109819v1_random	NW_020109819.1
chrW_NW_020109793v1_random	NW_020109793.1
chrW_NW_020109790v1_random	NW_020109790.1
chrW_NW_020109781v1_random	NW_020109781.1
chrW_NW_020109785v1_random	NW_020109785.1
chrW_NW_020109802v1_random	NW_020109802.1
chrW_NW_020109820v1_random	NW_020109820.1
chrW_NW_020109817v1_random	NW_020109817.1
chrW_NW_020109815v1_random	NW_020109815.1
chrW_NW_020109810v1_random	NW_020109810.1
chrW_NW_020109808v1_random	NW_020109808.1
chrW_NW_020109801v1_random	NW_020109801.1
chrW_NW_020109795v1_random	NW_020109795.1
chrW_NW_020109789v1_random	NW_020109789.1
chrW_NW_020109786v1_random	NW_020109786.1
chrW_NW_020109784v1_random	NW_020109784.1
