chr1	1
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr2	2
chr20	20
chr21	21
chr22	22
chr23	23
chr24	24
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chrM	MT
scaffold1000	scaffold1000
scaffold1001	scaffold1001
scaffold1003	scaffold1003
scaffold1004	scaffold1004
scaffold1005	scaffold1005
scaffold1009	scaffold1009
scaffold1010	scaffold1010
scaffold1012	scaffold1012
scaffold1013	scaffold1013
scaffold1014	scaffold1014
scaffold1015	scaffold1015
scaffold1018	scaffold1018
scaffold1019	scaffold1019
scaffold1021	scaffold1021
scaffold1022	scaffold1022
scaffold1024	scaffold1024
scaffold1027	scaffold1027
scaffold1028	scaffold1028
scaffold1029	scaffold1029
scaffold1031	scaffold1031
scaffold1034	scaffold1034
scaffold1035	scaffold1035
scaffold1036	scaffold1036
scaffold1037	scaffold1037
scaffold1040	scaffold1040
scaffold1041	scaffold1041
scaffold1043	scaffold1043
scaffold1044	scaffold1044
scaffold1045	scaffold1045
scaffold1046	scaffold1046
scaffold1047	scaffold1047
scaffold1048	scaffold1048
scaffold1049	scaffold1049
scaffold1050	scaffold1050
scaffold1052	scaffold1052
scaffold1053	scaffold1053
scaffold1054	scaffold1054
scaffold1055	scaffold1055
scaffold1058	scaffold1058
scaffold1060	scaffold1060
scaffold1061	scaffold1061
scaffold1063	scaffold1063
scaffold1064	scaffold1064
scaffold1066	scaffold1066
scaffold1067	scaffold1067
scaffold1068	scaffold1068
scaffold1069	scaffold1069
scaffold1070	scaffold1070
scaffold1071	scaffold1071
scaffold1072	scaffold1072
scaffold1073	scaffold1073
scaffold1075	scaffold1075
scaffold1076	scaffold1076
scaffold1078	scaffold1078
scaffold1080	scaffold1080
scaffold1081	scaffold1081
scaffold1082	scaffold1082
scaffold1083	scaffold1083
scaffold1084	scaffold1084
scaffold1086	scaffold1086
scaffold1087	scaffold1087
scaffold1088	scaffold1088
scaffold1089	scaffold1089
scaffold1090	scaffold1090
scaffold1092	scaffold1092
scaffold1093	scaffold1093
scaffold1097	scaffold1097
scaffold1098	scaffold1098
scaffold1099	scaffold1099
scaffold1100	scaffold1100
scaffold1101	scaffold1101
scaffold1104	scaffold1104
scaffold1105	scaffold1105
scaffold1107	scaffold1107
scaffold1108	scaffold1108
scaffold1109	scaffold1109
scaffold1110	scaffold1110
scaffold1111	scaffold1111
scaffold1112	scaffold1112
scaffold1114	scaffold1114
scaffold1116	scaffold1116
scaffold1117	scaffold1117
scaffold1118	scaffold1118
scaffold1119	scaffold1119
scaffold1120	scaffold1120
scaffold1121	scaffold1121
scaffold1122	scaffold1122
scaffold1125	scaffold1125
scaffold1126	scaffold1126
scaffold1127	scaffold1127
scaffold1128	scaffold1128
scaffold1129	scaffold1129
scaffold1130	scaffold1130
scaffold1131	scaffold1131
scaffold1133	scaffold1133
scaffold1136	scaffold1136
scaffold1137	scaffold1137
scaffold1138	scaffold1138
scaffold1140	scaffold1140
scaffold1141	scaffold1141
scaffold1142	scaffold1142
scaffold1143	scaffold1143
scaffold1144	scaffold1144
scaffold1145	scaffold1145
scaffold1146	scaffold1146
scaffold1149	scaffold1149
scaffold1150	scaffold1150
scaffold1151	scaffold1151
scaffold1154	scaffold1154
scaffold1155	scaffold1155
scaffold1156	scaffold1156
scaffold1157	scaffold1157
scaffold1159	scaffold1159
