1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
AABR06109291.1	chr1_AABR06109291_random
AABR06109292.1	chr1_AABR06109292_random
AABR06109293.1	chr1_AABR06109293_random
AABR06109294.1	chr1_AABR06109294_random
AABR06109295.1	chr1_AABR06109295_random
AABR06109296.1	chr1_AABR06109296_random
AABR06109297.1	chr1_AABR06109297_random
AABR06109298.1	chr1_AABR06109298_random
AABR06109299.1	chr1_AABR06109299_random
AABR06109300.1	chr1_AABR06109300_random
AABR06109301.1	chr1_AABR06109301_random
AABR06109302.1	chr1_AABR06109302_random
AABR06109303.1	chr1_AABR06109303_random
AABR06109307.1	chr1_AABR06109307_random
AABR06109308.1	chr1_AABR06109308_random
AABR06109309.1	chr1_AABR06109309_random
AABR06109310.1	chr1_AABR06109310_random
AABR06109311.1	chr1_AABR06109311_random
AABR06109312.1	chr1_AABR06109312_random
AABR06109313.1	chr1_AABR06109313_random
AABR06109314.1	chr1_AABR06109314_random
AABR06109315.1	chr1_AABR06109315_random
AABR06109316.1	chr1_AABR06109316_random
AABR06109317.1	chr1_AABR06109317_random
AABR06109322.1	chr1_AABR06109322_random
AABR06109323.1	chr1_AABR06109323_random
AABR06109324.1	chr1_AABR06109324_random
AABR06109325.1	chr1_AABR06109325_random
AABR06109331.1	chr1_AABR06109331_random
AABR06109332.1	chr1_AABR06109332_random
AABR06109333.1	chr1_AABR06109333_random
AABR06109334.1	chr1_AABR06109334_random
AABR06109335.1	chr1_AABR06109335_random
AABR06109336.1	chr1_AABR06109336_random
AABR06109337.1	chr1_AABR06109337_random
AABR06109340.1	chr1_AABR06109340_random
AABR06109341.1	chr1_AABR06109341_random
AABR06109342.1	chr1_AABR06109342_random
AABR06109343.1	chr1_AABR06109343_random
AABR06109344.1	chr1_AABR06109344_random
AABR06109345.1	chr1_AABR06109345_random
AABR06109346.1	chr1_AABR06109346_random
AABR06109347.1	chr1_AABR06109347_random
AABR06109348.1	chr1_AABR06109348_random
AABR06109349.1	chr1_AABR06109349_random
AABR06109354.1	chr1_AABR06109354_random
AABR06109355.1	chr1_AABR06109355_random
AABR06109356.1	chr1_AABR06109356_random
AABR06109357.1	chr1_AABR06109357_random
AABR06109360.1	chr1_AABR06109360_random
AABR06109366.1	chr1_AABR06109366_random
AABR06109370.1	chr1_AABR06109370_random
AABR06109371.1	chr1_AABR06109371_random
AABR06109372.1	chr1_AABR06109372_random
AABR06109373.1	chr1_AABR06109373_random
AABR06109374.1	chr1_AABR06109374_random
AABR06109375.1	chr1_AABR06109375_random
AABR06109376.1	chr1_AABR06109376_random
AABR06109377.1	chr1_AABR06109377_random
AABR06109378.1	chr1_AABR06109378_random
AABR06109379.1	chr1_AABR06109379_random
AABR06109380.1	chr1_AABR06109380_random
AABR06109381.1	chr1_AABR06109381_random
AABR06109382.1	chr1_AABR06109382_random
AABR06109385.1	chr1_AABR06109385_random
AABR06109386.1	chr1_AABR06109386_random
AABR06109389.1	chr1_AABR06109389_random
AABR06109390.1	chr1_AABR06109390_random
AABR06109391.1	chr1_AABR06109391_random
AABR06109392.1	chr1_AABR06109392_random
AABR06109393.1	chr1_AABR06109393_random
AABR06109394.1	chr2_AABR06109394_random
AABR06109395.1	chr2_AABR06109395_random
AABR06109396.1	chr2_AABR06109396_random
AABR06109397.1	chr2_AABR06109397_random
AABR06109398.1	chr2_AABR06109398_random
AABR06109399.1	chr2_AABR06109399_random
AABR06109402.1	chr2_AABR06109402_random
AABR06109403.1	chr2_AABR06109403_random
AABR06109404.1	chr2_AABR06109404_random
AABR06109405.1	chr2_AABR06109405_random
AABR06109406.1	chr2_AABR06109406_random
AABR06109407.1	chr2_AABR06109407_random
AABR06109408.1	chr2_AABR06109408_random
AABR06109409.1	chr2_AABR06109409_random
AABR06109410.1	chr2_AABR06109410_random
AABR06109413.1	chr2_AABR06109413_random
AABR06109414.1	chr2_AABR06109414_random
AABR06109417.1	chr2_AABR06109417_random
AABR06109418.1	chr2_AABR06109418_random
AABR06109419.1	chr2_AABR06109419_random
AABR06109422.1	chr2_AABR06109422_random
AABR06109423.1	chr2_AABR06109423_random
AABR06109424.1	chr2_AABR06109424_random
AABR06109425.1	chr2_AABR06109425_random
AABR06109426.1	chr2_AABR06109426_random
AABR06109427.1	chr2_AABR06109427_random
AABR06109428.1	chr2_AABR06109428_random
AABR06109429.1	chr2_AABR06109429_random
AABR06109430.1	chr2_AABR06109430_random
AABR06109433.1	chr2_AABR06109433_random
AABR06109452.1	chr2_AABR06109452_random
AABR06109455.1	chr2_AABR06109455_random
AABR06109458.1	chr2_AABR06109458_random
AABR06109459.1	chr2_AABR06109459_random
AABR06109460.1	chr2_AABR06109460_random
AABR06109463.1	chr2_AABR06109463_random
AABR06109464.1	chr2_AABR06109464_random
AABR06109465.1	chr2_AABR06109465_random
AABR06109466.1	chr2_AABR06109466_random
AABR06109467.1	chr2_AABR06109467_random
AABR06109468.1	chr2_AABR06109468_random
AABR06109469.1	chr2_AABR06109469_random
AABR06109470.1	chr2_AABR06109470_random
AABR06109471.1	chr2_AABR06109471_random
AABR06109472.1	chr2_AABR06109472_random
AABR06109473.1	chr2_AABR06109473_random
AABR06109474.1	chr2_AABR06109474_random
AABR06109475.1	chr2_AABR06109475_random
AABR06109476.1	chr2_AABR06109476_random
AABR06109477.1	chr2_AABR06109477_random
AABR06109478.1	chr2_AABR06109478_random
AABR06109479.1	chr2_AABR06109479_random
AABR06109480.1	chr2_AABR06109480_random
AABR06109481.1	chr2_AABR06109481_random
AABR06109484.1	chr2_AABR06109484_random
AABR06109485.1	chr2_AABR06109485_random
AABR06109486.1	chr2_AABR06109486_random
AABR06109487.1	chr2_AABR06109487_random
AABR06109488.1	chr2_AABR06109488_random
AABR06109489.1	chr2_AABR06109489_random
AABR06109490.1	chr2_AABR06109490_random
AABR06109491.1	chr2_AABR06109491_random
AABR06109492.1	chr2_AABR06109492_random
AABR06109493.1	chr2_AABR06109493_random
AABR06109494.1	chr2_AABR06109494_random
AABR06109495.1	chr2_AABR06109495_random
AABR06109496.1	chr2_AABR06109496_random
AABR06109497.1	chr2_AABR06109497_random
AABR06109498.1	chr2_AABR06109498_random
AABR06109499.1	chr2_AABR06109499_random
AABR06109500.1	chr2_AABR06109500_random
AABR06109501.1	chr2_AABR06109501_random
AABR06109502.1	chr2_AABR06109502_random
AABR06109503.1	chr2_AABR06109503_random
AABR06109504.1	chr2_AABR06109504_random
AABR06109505.1	chr2_AABR06109505_random
AABR06109506.1	chr2_AABR06109506_random
AABR06109507.1	chr2_AABR06109507_random
AABR06109508.1	chr2_AABR06109508_random
AABR06109509.1	chr2_AABR06109509_random
AABR06109510.1	chr2_AABR06109510_random
AABR06109513.1	chr2_AABR06109513_random
AABR06109514.1	chr2_AABR06109514_random
AABR06109515.1	chr2_AABR06109515_random
AABR06109516.1	chr2_AABR06109516_random
AABR06109519.1	chr2_AABR06109519_random
AABR06109520.1	chr2_AABR06109520_random
AABR06109521.1	chr2_AABR06109521_random
AABR06109522.1	chr2_AABR06109522_random
AABR06109523.1	chr2_AABR06109523_random
AABR06109524.1	chr2_AABR06109524_random
AABR06109525.1	chr2_AABR06109525_random
AABR06109526.1	chr2_AABR06109526_random
AABR06109527.1	chr2_AABR06109527_random
AABR06109528.1	chr2_AABR06109528_random
AABR06109529.1	chr2_AABR06109529_random
AABR06109530.1	chr2_AABR06109530_random
AABR06109531.1	chr2_AABR06109531_random
AABR06109532.1	chr2_AABR06109532_random
AABR06109533.1	chr2_AABR06109533_random
AABR06109538.1	chr2_AABR06109538_random
AABR06109539.1	chr2_AABR06109539_random
AABR06109540.1	chr2_AABR06109540_random
AABR06109541.1	chr2_AABR06109541_random
AABR06109545.1	chr3_AABR06109545_random
AABR06109546.1	chr3_AABR06109546_random
AABR06109559.1	chr3_AABR06109559_random
AABR06109560.1	chr3_AABR06109560_random
AABR06109561.1	chr3_AABR06109561_random
AABR06109562.1	chr3_AABR06109562_random
AABR06109563.1	chr3_AABR06109563_random
AABR06109564.1	chr3_AABR06109564_random
AABR06109565.1	chr3_AABR06109565_random
AABR06109566.1	chr3_AABR06109566_random
AABR06109567.1	chr3_AABR06109567_random
AABR06109568.1	chr3_AABR06109568_random
AABR06109569.1	chr3_AABR06109569_random
AABR06109570.1	chr3_AABR06109570_random
AABR06109583.1	chr3_AABR06109583_random
AABR06109589.1	chr3_AABR06109589_random
AABR06109590.1	chr3_AABR06109590_random
AABR06109591.1	chr3_AABR06109591_random
AABR06109592.1	chr3_AABR06109592_random
AABR06109593.1	chr3_AABR06109593_random
AABR06109594.1	chr3_AABR06109594_random
AABR06109595.1	chr3_AABR06109595_random
AABR06109596.1	chr3_AABR06109596_random
AABR06109597.1	chr3_AABR06109597_random
AABR06109598.1	chr3_AABR06109598_random
AABR06109599.1	chr3_AABR06109599_random
AABR06109600.1	chr3_AABR06109600_random
AABR06109605.1	chr3_AABR06109605_random
AABR06109610.1	chr3_AABR06109610_random
AABR06109611.1	chr3_AABR06109611_random
AABR06109612.1	chr3_AABR06109612_random
AABR06109613.1	chr3_AABR06109613_random
AABR06109614.1	chr3_AABR06109614_random
AABR06109615.1	chr3_AABR06109615_random
AABR06109618.1	chr3_AABR06109618_random
AABR06109619.1	chr3_AABR06109619_random
AABR06109620.1	chr3_AABR06109620_random
AABR06109621.1	chr3_AABR06109621_random
AABR06109622.1	chr3_AABR06109622_random
AABR06109623.1	chr3_AABR06109623_random
AABR06109624.1	chr3_AABR06109624_random
AABR06109631.1	chr3_AABR06109631_random
AABR06109632.1	chr3_AABR06109632_random
AABR06109633.1	chr3_AABR06109633_random
AABR06109634.1	chr3_AABR06109634_random
AABR06109635.1	chr3_AABR06109635_random
AABR06109636.1	chr3_AABR06109636_random
AABR06109637.1	chr3_AABR06109637_random
AABR06109638.1	chr3_AABR06109638_random
AABR06109639.1	chr3_AABR06109639_random
AABR06109640.1	chr3_AABR06109640_random
AABR06109641.1	chr4_AABR06109641_random
AABR06109642.1	chr4_AABR06109642_random
AABR06109643.1	chr4_AABR06109643_random
AABR06109644.1	chr4_AABR06109644_random
AABR06109645.1	chr4_AABR06109645_random
AABR06109646.1	chr4_AABR06109646_random
AABR06109647.1	chr4_AABR06109647_random
AABR06109648.1	chr4_AABR06109648_random
AABR06109649.1	chr4_AABR06109649_random
AABR06109650.1	chr4_AABR06109650_random
AABR06109653.1	chr4_AABR06109653_random
AABR06109654.1	chr4_AABR06109654_random
AABR06109655.1	chr4_AABR06109655_random
AABR06109656.1	chr4_AABR06109656_random
AABR06109657.1	chr4_AABR06109657_random
