chr1	1
chr10	10
chr11	11
chr12	12
chr12_NW_023637711v1_random	MU150189.1
chr12_NW_023637712v1_random	JACYVU010000238.1
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr19_NW_023637713v1_random	JACYVU010000315.1
chr19_NW_023637714v1_random	JACYVU010000316.1
chr19_NW_023637715v1_random	JACYVU010000317.1
chr19_NW_023637716v1_random	JACYVU010000318.1
chr19_NW_023637717v1_random	JACYVU010000319.1
chr2	2
chr20	20
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chrM	MT
chrUn_NW_023637723v1	MU150194.1
chrUn_NW_023637724v1	MU150195.1
chrUn_NW_023637725v1	MU150196.1
chrUn_NW_023637726v1	MU150197.1
chrUn_NW_023637727v1	MU150198.1
chrUn_NW_023637728v1	MU150199.1
chrUn_NW_023637729v1	JACYVU010000587.1
chrUn_NW_023637730v1	JACYVU010000588.1
chrUn_NW_023637731v1	JACYVU010000589.1
chrUn_NW_023637732v1	JACYVU010000590.1
chrUn_NW_023637733v1	MU150200.1
chrUn_NW_023637734v1	JACYVU010000595.1
chrUn_NW_023637735v1	JACYVU010000596.1
chrUn_NW_023637736v1	JACYVU010000597.1
chrUn_NW_023637737v1	JACYVU010000598.1
chrUn_NW_023637738v1	JACYVU010000599.1
chrUn_NW_023637739v1	JACYVU010000600.1
chrUn_NW_023637740v1	JACYVU010000601.1
chrUn_NW_023637741v1	JACYVU010000602.1
chrUn_NW_023637742v1	JACYVU010000603.1
chrUn_NW_023637743v1	JACYVU010000604.1
chrUn_NW_023637744v1	JACYVU010000605.1
chrUn_NW_023637745v1	JACYVU010000606.1
chrUn_NW_023637746v1	JACYVU010000607.1
chrUn_NW_023637747v1	JACYVU010000608.1
chrUn_NW_023637748v1	JACYVU010000609.1
chrUn_NW_023637749v1	JACYVU010000610.1
chrUn_NW_023637750v1	JACYVU010000611.1
chrUn_NW_023637751v1	JACYVU010000612.1
chrUn_NW_023637752v1	JACYVU010000613.1
chrUn_NW_023637753v1	JACYVU010000614.1
chrUn_NW_023637754v1	MU150201.1
chrUn_NW_023637755v1	MU150202.1
chrUn_NW_023637756v1	JACYVU010000619.1
chrUn_NW_023637757v1	JACYVU010000620.1
chrUn_NW_023637758v1	JACYVU010000621.1
chrUn_NW_023637759v1	JACYVU010000622.1
chrUn_NW_023637760v1	JACYVU010000623.1
chrUn_NW_023637761v1	JACYVU010000624.1
chrUn_NW_023637762v1	JACYVU010000625.1
chrUn_NW_023637763v1	JACYVU010000626.1
chrUn_NW_023637764v1	MU150203.1
chrUn_NW_023637765v1	JACYVU010000629.1
chrUn_NW_023637766v1	JACYVU010000630.1
chrUn_NW_023637767v1	JACYVU010000631.1
chrUn_NW_023637768v1	JACYVU010000632.1
chrUn_NW_023637769v1	JACYVU010000633.1
chrUn_NW_023637770v1	JACYVU010000634.1
chrUn_NW_023637771v1	JACYVU010000635.1
chrUn_NW_023637772v1	JACYVU010000636.1
chrUn_NW_023637773v1	JACYVU010000637.1
chrUn_NW_023637774v1	JACYVU010000638.1
chrUn_NW_023637775v1	JACYVU010000639.1
chrUn_NW_023637776v1	JACYVU010000640.1
chrUn_NW_023637777v1	JACYVU010000641.1
chrUn_NW_023637778v1	JACYVU010000642.1
chrUn_NW_023637779v1	JACYVU010000643.1
chrUn_NW_023637780v1	JACYVU010000644.1
chrUn_NW_023637781v1	JACYVU010000645.1
