Chr01	chr1
Chr02	chr2
Chr03	chr3
Chr04	chr4
Chr05	chr5
Chr06	chr6
Chr07	chr7
Chr08	chr8
Chr09	chr9
Chr10	chr10
MT	chrM
scaffold_100	chrUn_NW_016683432v1
scaffold_1000	chrUn_NW_016684134v1
scaffold_1001	chrUn_NW_016684135v1
scaffold_1002	chrUn_NW_016684136v1
scaffold_1003	chrUn_NW_016684137v1
scaffold_1004	chrUn_NW_016684138v1
scaffold_1006	chrUn_NW_016684139v1
scaffold_1008	chrUn_NW_016684140v1
scaffold_101	chrUn_NW_016683433v1
scaffold_1012	chrUn_NW_016684141v1
scaffold_1013	chrUn_NW_016684142v1
scaffold_1014	chrUn_NW_016684143v1
scaffold_1016	chrUn_NW_016684144v1
scaffold_1018	chrUn_NW_016684145v1
scaffold_1019	chrUn_NW_016684146v1
scaffold_102	chrUn_NW_016683434v1
scaffold_1023	chrUn_NW_016684147v1
scaffold_1024	chrUn_NW_016684148v1
scaffold_1025	chrUn_NW_016684149v1
scaffold_1026	chrUn_NW_016684150v1
scaffold_1027	chrUn_NW_016684151v1
scaffold_1028	chrUn_NW_016684152v1
scaffold_1029	chrUn_NW_016684153v1
scaffold_103	chrUn_NW_016683435v1
scaffold_1030	chrUn_NW_016684154v1
scaffold_1031	chrUn_NW_016684155v1
scaffold_1033	chrUn_NW_016684156v1
scaffold_1034	chrUn_NW_016684157v1
scaffold_1035	chrUn_NW_016684158v1
scaffold_1036	chrUn_NW_016684159v1
scaffold_10370	chrUn_NW_016690147v1
scaffold_1038	chrUn_NW_016684160v1
scaffold_1039	chrUn_NW_016684161v1
scaffold_104	chrUn_NW_016683436v1
scaffold_1040	chrUn_NW_016684162v1
scaffold_1041	chrUn_NW_016684163v1
scaffold_1042	chrUn_NW_016684164v1
scaffold_1043	chrUn_NW_016684165v1
scaffold_1045	chrUn_NW_016684166v1
scaffold_1046	chrUn_NW_016684167v1
scaffold_1047	chrUn_NW_016684168v1
scaffold_1048	chrUn_NW_016684169v1
scaffold_1049	chrUn_NW_016684170v1
scaffold_105	chrUn_NW_016683437v1
scaffold_1050	chrUn_NW_016684171v1
scaffold_1052	chrUn_NW_016684172v1
scaffold_1053	chrUn_NW_016684173v1
scaffold_1055	chrUn_NW_016684174v1
scaffold_1056	chrUn_NW_016684175v1
scaffold_1058	chrUn_NW_016684176v1
scaffold_1059	chrUn_NW_016684177v1
scaffold_1061	chrUn_NW_016684178v1
scaffold_1062	chrUn_NW_016684179v1
scaffold_1063	chrUn_NW_016684180v1
scaffold_1067	chrUn_NW_016684181v1
scaffold_1068	chrUn_NW_016684182v1
scaffold_1069	chrUn_NW_016684183v1
scaffold_107	chrUn_NW_016683438v1
scaffold_1071	chrUn_NW_016684184v1
scaffold_1074	chrUn_NW_016684185v1
scaffold_1075	chrUn_NW_016684186v1
scaffold_1076	chrUn_NW_016684187v1
scaffold_1077	chrUn_NW_016684188v1
scaffold_1078	chrUn_NW_016684189v1
scaffold_1079	chrUn_NW_016684190v1
scaffold_108	chrUn_NW_016683439v1
scaffold_1080	chrUn_NW_016684191v1
scaffold_1081	chrUn_NW_016684192v1
scaffold_1082	chrUn_NW_016684193v1
scaffold_1084	chrUn_NW_016684194v1
scaffold_1085	chrUn_NW_016684195v1
scaffold_1087	chrUn_NW_016684196v1
scaffold_1088	chrUn_NW_016684197v1
scaffold_1089	chrUn_NW_016684198v1
scaffold_1090	chrUn_NW_016684199v1
scaffold_1092	chrUn_NW_016684200v1
scaffold_1093	chrUn_NW_016684201v1
scaffold_1095	chrUn_NW_016684202v1
scaffold_1096	chrUn_NW_016684203v1
scaffold_1097	chrUn_NW_016684204v1
scaffold_1099	chrUn_NW_016684205v1
scaffold_1100	chrUn_NW_016684206v1
scaffold_1101	chrUn_NW_016684207v1
scaffold_1103	chrUn_NW_016684208v1
scaffold_1104	chrUn_NW_016684209v1
scaffold_1105	chrUn_NW_016684210v1
scaffold_1107	chrUn_NW_016684211v1
scaffold_1110	chrUn_NW_016684212v1
scaffold_1111	chrUn_NW_016684213v1
scaffold_1112	chrUn_NW_016684214v1
scaffold_1113	chrUn_NW_016684215v1
scaffold_1114	chrUn_NW_016684216v1
scaffold_1115	chrUn_NW_016684217v1
scaffold_1117	chrUn_NW_016684218v1
scaffold_1118	chrUn_NW_016684219v1
scaffold_112	chrUn_NW_016683440v1
scaffold_1120	chrUn_NW_016684220v1
scaffold_1122	chrUn_NW_016684221v1
scaffold_1124	chrUn_NW_016684222v1
scaffold_1125	chrUn_NW_016684223v1
scaffold_1127	chrUn_NW_016684224v1
scaffold_1128	chrUn_NW_016684225v1
scaffold_1129	chrUn_NW_016684226v1
scaffold_113	chrUn_NW_016683441v1
scaffold_1130	chrUn_NW_016684227v1
scaffold_1131	chrUn_NW_016684228v1
scaffold_1132	chrUn_NW_016684229v1
scaffold_1134	chrUn_NW_016684230v1
scaffold_1136	chrUn_NW_016684231v1
scaffold_1137	chrUn_NW_016684232v1
scaffold_1138	chrUn_NW_016684233v1
scaffold_1139	chrUn_NW_016684234v1
scaffold_114	chrUn_NW_016683442v1
scaffold_1141	chrUn_NW_016684235v1
scaffold_1144	chrUn_NW_016684236v1
scaffold_1145	chrUn_NW_016684237v1
scaffold_1146	chrUn_NW_016684238v1
scaffold_1147	chrUn_NW_016684239v1
scaffold_1148	chrUn_NW_016684240v1
scaffold_1149	chrUn_NW_016684241v1
scaffold_1150	chrUn_NW_016684242v1
scaffold_1151	chrUn_NW_016684243v1
scaffold_1152	chrUn_NW_016684244v1
scaffold_1153	chrUn_NW_016684245v1
scaffold_1155	chrUn_NW_016684246v1
scaffold_1156	chrUn_NW_016684247v1
scaffold_1157	chrUn_NW_016684248v1
scaffold_1158	chrUn_NW_016684249v1
scaffold_116	chrUn_NW_016683443v1
scaffold_1160	chrUn_NW_016684250v1
scaffold_1161	chrUn_NW_016684251v1
scaffold_1162	chrUn_NW_016684252v1
scaffold_1163	chrUn_NW_016684253v1
scaffold_1165	chrUn_NW_016684254v1
scaffold_1166	chrUn_NW_016684255v1
scaffold_1168	chrUn_NW_016684256v1
scaffold_1169	chrUn_NW_016684257v1
scaffold_1172	chrUn_NW_016684258v1
scaffold_1174	chrUn_NW_016684259v1
scaffold_1176	chrUn_NW_016684260v1
scaffold_1179	chrUn_NW_016684261v1
scaffold_1180	chrUn_NW_016684262v1
scaffold_1181	chrUn_NW_016684263v1
scaffold_1183	chrUn_NW_016684264v1
scaffold_1184	chrUn_NW_016684265v1
scaffold_1185	chrUn_NW_016684266v1
scaffold_1186	chrUn_NW_016684267v1
scaffold_1187	chrUn_NW_016684268v1
scaffold_1188	chrUn_NW_016684269v1
scaffold_1189	chrUn_NW_016684270v1
scaffold_119	chrUn_NW_016683444v1
scaffold_1191	chrUn_NW_016684271v1
scaffold_1193	chrUn_NW_016684272v1
scaffold_1194	chrUn_NW_016684273v1
scaffold_1195	chrUn_NW_016684274v1
scaffold_1196	chrUn_NW_016684275v1
scaffold_1197	chrUn_NW_016684276v1
scaffold_1198	chrUn_NW_016684277v1
scaffold_1199	chrUn_NW_016684278v1
scaffold_120	chrUn_NW_016683445v1
scaffold_1200	chrUn_NW_016684279v1
scaffold_1201	chrUn_NW_016684280v1
scaffold_1202	chrUn_NW_016684281v1
scaffold_1203	chrUn_NW_016684282v1
scaffold_1205	chrUn_NW_016684283v1
scaffold_1206	chrUn_NW_016684284v1
scaffold_1207	chrUn_NW_016684285v1
scaffold_1210	chrUn_NW_016684286v1
scaffold_1211	chrUn_NW_016684287v1
scaffold_1215	chrUn_NW_016684288v1
scaffold_1216	chrUn_NW_016684289v1
scaffold_1217	chrUn_NW_016684290v1
scaffold_1218	chrUn_NW_016684291v1
scaffold_1220	chrUn_NW_016684292v1
scaffold_1221	chrUn_NW_016684293v1
scaffold_1222	chrUn_NW_016684294v1
scaffold_1223	chrUn_NW_016684295v1
scaffold_1224	chrUn_NW_016684296v1
scaffold_1225	chrUn_NW_016684297v1
scaffold_1226	chrUn_NW_016684298v1
scaffold_1227	chrUn_NW_016684299v1
scaffold_1228	chrUn_NW_016684300v1
scaffold_1229	chrUn_NW_016684301v1
scaffold_1230	chrUn_NW_016684302v1
scaffold_1231	chrUn_NW_016684303v1
scaffold_1232	chrUn_NW_016684304v1
scaffold_1233	chrUn_NW_016684305v1
scaffold_1235	chrUn_NW_016684306v1
scaffold_1236	chrUn_NW_016684307v1
scaffold_1238	chrUn_NW_016684308v1
scaffold_1239	chrUn_NW_016684309v1
scaffold_124	chrUn_NW_016683446v1
scaffold_1240	chrUn_NW_016684310v1
scaffold_1241	chrUn_NW_016684311v1
scaffold_1242	chrUn_NW_016684312v1
scaffold_1244	chrUn_NW_016684313v1
scaffold_1245	chrUn_NW_016684314v1
scaffold_1246	chrUn_NW_016684315v1
scaffold_1247	chrUn_NW_016684316v1
scaffold_1248	chrUn_NW_016684317v1
scaffold_1249	chrUn_NW_016684318v1
scaffold_125	chrUn_NW_016683447v1
scaffold_1251	chrUn_NW_016684319v1
scaffold_1253	chrUn_NW_016684320v1
scaffold_1255	chrUn_NW_016684321v1
scaffold_1256	chrUn_NW_016684322v1
scaffold_1257	chrUn_NW_016684323v1
scaffold_1258	chrUn_NW_016684324v1
