1	NC_006088.5
2	NC_006089.5
3	NC_006090.5
4	NC_006091.5
5	NC_006092.5
6	NC_006093.5
7	NC_006094.5
8	NC_006095.5
9	NC_006096.5
10	NC_006097.5
11	NC_006098.5
12	NC_006099.5
13	NC_006100.5
14	NC_006101.5
15	NC_006102.5
16	NC_006103.5
17	NC_006104.5
18	NC_006105.5
19	NC_006106.5
20	NC_006107.5
21	NC_006108.5
22	NC_006109.5
23	NC_006110.5
24	NC_006111.5
25	NC_006112.4
26	NC_006113.5
27	NC_006114.5
28	NC_006115.5
30	NC_028739.2
31	NC_028740.2
32	NC_006119.4
33	NC_008465.4
W	NC_006126.5
Z	NC_006127.5
AADN05001166.1	NW_020109739.1
AADN05001175.1	NW_020109740.1
AADN05001177.1	NW_020109737.1
AADN05001290.1	NW_020109742.1
AADN05001373.1	NW_020109741.1
AADN05001390.1	NW_020109743.1
AADN05001403.1	NW_020109738.1
AADN05001148.1	NW_020109745.1
AADN05001218.1	NW_020109746.1
AADN05001230.1	NW_020109747.1
AADN05001551.1	NW_020109744.1
AADN05001169.1	NW_020109750.1
AADN05001217.1	NW_020109753.1
AADN05001228.1	NW_020109751.1
AADN05001229.1	NW_020109752.1
AADN05001277.1	NW_020109748.1
AADN05001479.1	NW_020109749.1
AADN05000525.1	NW_020109754.1
AADN05001554.1	NW_020109755.1
AADN05001158.1	NW_020109756.1
AADN05001270.1	NW_020109757.1
KZ626819.1	NW_020109758.1
AADN05001539.1	NW_020109759.1
AADN05001282.1	NW_020109760.1
AADN05001160.1	NW_020109766.1
AADN05001267.1	NW_020109765.1
AADN05001389.1	NW_020109764.1
AADN05001507.1	NW_020109763.1
AADN05001548.1	NW_020109762.1
AADN05001564.1	NW_020109761.1
AADN05001297.1	NW_020109767.1
AADN05001153.1	NW_020109768.1
AADN05001204.1	NW_020109769.1
AADN05001362.1	NW_020109771.1
AADN05001406.1	NW_020109770.1
AADN05001549.1	NW_020109772.1
AADN05001154.1	NW_020109776.1
AADN05001185.1	NW_020109805.1
AADN05001192.1	NW_020109791.1
AADN05001196.1	NW_020109777.1
AADN05001237.1	NW_020109812.1
AADN05001238.1	NW_020109800.1
AADN05001265.1	NW_020109796.1
AADN05001298.1	NW_020109778.1
AADN05001370.1	NW_020109826.1
AADN05001410.1	NW_020109804.1
AADN05001412.1	NW_020109814.1
AADN05001413.1	NW_020109782.1
AADN05001423.1	NW_020109823.1
AADN05001424.1	NW_020109822.1
AADN05001425.1	NW_020109819.1
AADN05001426.1	NW_020109793.1
AADN05001427.1	NW_020109790.1
AADN05001428.1	NW_020109781.1
AADN05001429.1	NW_020109785.1
AADN05001431.1	NW_020109802.1
AADN05001433.1	NW_020109820.1
AADN05001434.1	NW_020109817.1
AADN05001435.1	NW_020109815.1
AADN05001436.1	NW_020109810.1
AADN05001438.1	NW_020109808.1
AADN05001442.1	NW_020109801.1
AADN05001445.1	NW_020109795.1
AADN05001449.1	NW_020109789.1
AADN05001450.1	NW_020109786.1
AADN05001451.1	NW_020109784.1
AADN05001452.1	NW_020109798.1
AADN05001453.1	NW_020109797.1
AADN05001457.1	NW_020109787.1
AADN05001458.1	NW_020109779.1
AADN05001459.1	NW_020109806.1
AADN05001461.1	NW_020109818.1
AADN05001462.1	NW_020109807.1
AADN05001466.1	NW_020109825.1
AADN05001467.1	NW_020109821.1
AADN05001468.1	NW_020109813.1
AADN05001469.1	NW_020109809.1
AADN05001470.1	NW_020109799.1
AADN05001471.1	NW_020109788.1
AADN05001472.1	NW_020109775.1
AADN05001480.1	NW_020109803.1
AADN05001482.1	NW_020109816.1
AADN05001499.1	NW_020109794.1
AADN05001500.1	NW_020109780.1
AADN05001501.1	NW_020109783.1
AADN05001506.1	NW_020109811.1
AADN05001518.1	NW_020109824.1
AADN05001523.1	NW_020109792.1
AADN05001439.1	NW_020109829.1
AADN05000202.1	NW_020109839.1
AADN05000232.1	NW_020110168.1
AADN05000531.1	NW_020109833.1
AADN05000623.1	NW_020109887.1
AADN05001145.1	NW_020110117.1
AADN05001146.1	NW_020110056.1
AADN05001147.1	NW_020109854.1
AADN05001149.1	NW_020109971.1
AADN05001150.1	NW_020109897.1
AADN05001151.1	NW_020110030.1
AADN05001152.1	NW_020109873.1
AADN05001155.1	NW_020109927.1
AADN05001156.1	NW_020109931.1
AADN05001157.1	NW_020110002.1
AADN05001159.1	NW_020109852.1
AADN05001161.1	NW_020110019.1
AADN05001162.1	NW_020109889.1
AADN05001163.1	NW_020109883.1
AADN05001164.1	NW_020109911.1
AADN05001165.1	NW_020110078.1
AADN05001167.1	NW_020110074.1
AADN05001168.1	NW_020109969.1
AADN05001170.1	NW_020110073.1
AADN05001171.1	NW_020110017.1
AADN05001172.1	NW_020110126.1
AADN05001173.1	NW_020109977.1
AADN05001174.1	NW_020109953.1
AADN05001176.1	NW_020109913.1
AADN05001178.1	NW_020109890.1
AADN05001179.1	NW_020110025.1
AADN05001180.1	NW_020109923.1
AADN05001181.1	NW_020109853.1
AADN05001182.1	NW_020109999.1
AADN05001183.1	NW_020109955.1
AADN05001184.1	NW_020109929.1
AADN05001186.1	NW_020109908.1
AADN05001187.1	NW_020109843.1
AADN05001188.1	NW_020110149.1
AADN05001189.1	NW_020109968.1
AADN05001190.1	NW_020109885.1
AADN05001191.1	NW_020110081.1
AADN05001193.1	NW_020109836.1
AADN05001194.1	NW_020109922.1
AADN05001195.1	NW_020110065.1
AADN05001197.1	NW_020110112.1
AADN05001198.1	NW_020110008.1
AADN05001199.1	NW_020110094.1
AADN05001200.1	NW_020110058.1
AADN05001201.1	NW_020110066.1
AADN05001202.1	NW_020110109.1
AADN05001203.1	NW_020110068.1
AADN05001205.1	NW_020110088.1
AADN05001206.1	NW_020109991.1
AADN05001207.1	NW_020109937.1
AADN05001208.1	NW_020109920.1
AADN05001209.1	NW_020109932.1
AADN05001210.1	NW_020109851.1
AADN05001211.1	NW_020109978.1
AADN05001212.1	NW_020109949.1
AADN05001213.1	NW_020109863.1
AADN05001214.1	NW_020110090.1
AADN05001215.1	NW_020109892.1
AADN05001216.1	NW_020109982.1
AADN05001219.1	NW_020110145.1
AADN05001220.1	NW_020110147.1
AADN05001221.1	NW_020110134.1
AADN05001222.1	NW_020110127.1
AADN05001223.1	NW_020110121.1
AADN05001224.1	NW_020110122.1
AADN05001225.1	NW_020110099.1
AADN05001226.1	NW_020110085.1
AADN05001227.1	NW_020110118.1
AADN05001231.1	NW_020109957.1
AADN05001232.1	NW_020110063.1
AADN05001233.1	NW_020110087.1
AADN05001234.1	NW_020110086.1
AADN05001235.1	NW_020110150.1
AADN05001236.1	NW_020109916.1
AADN05001239.1	NW_020109941.1
AADN05001240.1	NW_020109831.1
AADN05001241.1	NW_020110136.1
AADN05001242.1	NW_020110014.1
AADN05001243.1	NW_020109963.1
AADN05001244.1	NW_020109867.1
AADN05001245.1	NW_020110045.1
AADN05001246.1	NW_020109865.1
AADN05001247.1	NW_020109940.1
AADN05001248.1	NW_020110000.1
AADN05001249.1	NW_020109972.1
AADN05001250.1	NW_020110115.1
AADN05001251.1	NW_020110011.1
AADN05001252.1	NW_020109909.1
AADN05001253.1	NW_020109868.1
AADN05001254.1	NW_020109996.1
AADN05001255.1	NW_020110067.1
AADN05001256.1	NW_020110055.1
AADN05001257.1	NW_020110036.1
AADN05001258.1	NW_020110020.1
AADN05001259.1	NW_020109992.1
AADN05001260.1	NW_020109933.1
AADN05001261.1	NW_020109903.1
AADN05001262.1	NW_020109936.1
AADN05001263.1	NW_020109944.1
AADN05001264.1	NW_020110102.1
AADN05001266.1	NW_020109905.1
AADN05001268.1	NW_020109918.1
AADN05001269.1	NW_020109906.1
AADN05001271.1	NW_020110083.1
AADN05001272.1	NW_020110005.1
AADN05001273.1	NW_020109886.1
AADN05001274.1	NW_020110028.1
AADN05001275.1	NW_020110114.1
AADN05001276.1	NW_020110043.1
AADN05001278.1	NW_020110006.1
AADN05001279.1	NW_020109884.1
AADN05001280.1	NW_020109993.1
AADN05001281.1	NW_020109960.1
AADN05001283.1	NW_020110084.1
AADN05001284.1	NW_020109959.1
AADN05001285.1	NW_020109910.1
AADN05001286.1	NW_020109859.1
AADN05001287.1	NW_020110137.1
AADN05001288.1	NW_020110132.1
AADN05001289.1	NW_020110091.1
AADN05001291.1	NW_020110152.1
AADN05001292.1	NW_020110142.1
AADN05001293.1	NW_020110113.1
AADN05001294.1	NW_020109926.1
AADN05001295.1	NW_020109881.1
AADN05001296.1	NW_020109928.1
AADN05001299.1	NW_020109875.1
AADN05001300.1	NW_020109870.1
AADN05001301.1	NW_020109934.1
AADN05001302.1	NW_020110079.1
AADN05001303.1	NW_020109866.1
AADN05001304.1	NW_020109919.1
AADN05001305.1	NW_020109980.1
AADN05001306.1	NW_020109830.1
AADN05001307.1	NW_020110131.1
AADN05001308.1	NW_020110104.1
AADN05001309.1	NW_020110064.1
AADN05001310.1	NW_020109895.1
AADN05001311.1	NW_020110069.1
AADN05001312.1	NW_020110089.1
AADN05001313.1	NW_020110046.1
AADN05001314.1	NW_020110018.1
AADN05001315.1	NW_020109990.1
AADN05001316.1	NW_020109952.1
AADN05001317.1	NW_020109939.1
AADN05001318.1	NW_020109893.1
AADN05001319.1	NW_020110076.1
AADN05001320.1	NW_020110049.1
