chr1	1
chr2	2
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chrM	MT
chrW	W
chrZ	Z
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr20	20
chr21	21
chr22	22
chr23	23
chr24	24
chr25	25
chr26	26
chr27	27
chr28	28
chr32	32
chrLGE64	LGE64
chrUn_JH375244	JH375244.1
chrUn_JH375245	JH375245.1
chrUn_JH375246	JH375246.1
chrUn_JH375247	JH375247.1
chrUn_JH375248	JH375248.1
chrUn_JH375249	JH375249.1
chrUn_JH375250	JH375250.1
chrUn_JH375251	JH375251.1
chrUn_JH375252	JH375252.1
chrUn_JH375253	JH375253.1
chrUn_JH375254	JH375254.1
chrUn_JH375255	JH375255.1
chrUn_JH375256	JH375256.1
chrUn_JH375257	JH375257.1
chrUn_JH375258	JH375258.1
chrUn_JH375259	JH375259.1
chrUn_JH375260	JH375260.1
chrUn_JH375261	JH375261.1
chrUn_JH375262	JH375262.1
chrUn_JH375263	JH375263.1
chrUn_JH375264	JH375264.1
chrUn_JH375265	JH375265.1
chrUn_JH375266	JH375266.1
chrUn_JH375267	JH375267.1
chrUn_JH375268	JH375268.1
chrUn_JH375269	JH375269.1
chrUn_JH375270	JH375270.1
chrUn_JH375271	JH375271.1
chrUn_JH375272	JH375272.1
chrUn_JH375273	JH375273.1
chrUn_JH375274	JH375274.1
chrUn_JH375275	JH375275.1
chrUn_JH375276	JH375276.1
chrUn_JH375277	JH375277.1
chrUn_JH375278	JH375278.1
chrUn_JH375279	JH375279.1
chrUn_JH375280	JH375280.1
chrUn_JH375281	JH375281.1
chrUn_JH375282	JH375282.1
chrUn_JH375283	JH375283.1
chrUn_JH375284	JH375284.1
chrUn_JH375285	JH375285.1
chrUn_JH375286	JH375286.1
chrUn_JH375287	JH375287.1
chrUn_JH375288	JH375288.1
chrUn_JH375289	JH375289.1
chrUn_JH375290	JH375290.1
chrUn_JH375291	JH375291.1
chrUn_JH375292	JH375292.1
chrUn_JH375293	JH375293.1
chrUn_JH375294	JH375294.1
chrUn_JH375295	JH375295.1
chrUn_JH375296	JH375296.1
chrUn_JH375297	JH375297.1
chrUn_JH375298	JH375298.1
chrUn_JH375299	JH375299.1
chrUn_JH375300	JH375300.1
chrUn_JH375301	JH375301.1
chrUn_JH375302	JH375302.1
chrUn_JH375303	JH375303.1
chrUn_JH375304	JH375304.1
chrUn_JH375305	JH375305.1
chrUn_JH375306	JH375306.1
chrUn_JH375307	JH375307.1
chrUn_JH375308	JH375308.1
chrUn_JH375309	JH375309.1
chrUn_JH375310	JH375310.1
chrUn_JH375311	JH375311.1
chrUn_JH375312	JH375312.1
chrUn_JH375313	JH375313.1
chrUn_JH375314	JH375314.1
chrUn_JH375315	JH375315.1
chrUn_JH375316	JH375316.1
chrUn_JH375317	JH375317.1
chrUn_JH375318	JH375318.1
chrUn_JH375319	JH375319.1
chrUn_JH375320	JH375320.1
chrUn_JH375321	JH375321.1
chrUn_JH375322	JH375322.1
chrUn_JH375323	JH375323.1
chrUn_JH375324	JH375324.1
chrUn_JH375325	JH375325.1
chrUn_JH375326	JH375326.1
chrUn_JH375327	JH375327.1
chrUn_JH375328	JH375328.1
chrUn_JH375329	JH375329.1
chrUn_JH375330	JH375330.1
chrUn_JH375331	JH375331.1
chrUn_JH375332	JH375332.1
chrUn_JH375333	JH375333.1
chrUn_JH375334	JH375334.1
chrUn_JH375335	JH375335.1
chrUn_JH375336	JH375336.1
chrUn_JH375337	JH375337.1
chrUn_JH375338	JH375338.1
chrUn_JH375339	JH375339.1
chrUn_JH375340	JH375340.1
chrUn_JH375341	JH375341.1
chrUn_JH375342	JH375342.1
chrUn_JH375343	JH375343.1
chrUn_JH375344	JH375344.1
chrUn_JH375345	JH375345.1
chrUn_JH375346	JH375346.1
chrUn_JH375347	JH375347.1
chrUn_JH375348	JH375348.1
chrUn_JH375349	JH375349.1
chrUn_JH375350	JH375350.1
chrUn_JH375351	JH375351.1
chrUn_JH375352	JH375352.1
chrUn_JH375353	JH375353.1
chrUn_JH375354	JH375354.1
chrUn_JH375355	JH375355.1
chrUn_JH375356	JH375356.1
chrUn_JH375357	JH375357.1
chrUn_JH375358	JH375358.1
chrUn_JH375359	JH375359.1
chrUn_JH375360	JH375360.1
chrUn_JH375361	JH375361.1
chrUn_JH375362	JH375362.1
chrUn_JH375363	JH375363.1
chrUn_JH375364	JH375364.1
chrUn_JH375365	JH375365.1
chrUn_JH375366	JH375366.1
chrUn_JH375367	JH375367.1
chrUn_JH375368	JH375368.1
chrUn_JH375369	JH375369.1
chrUn_JH375370	JH375370.1
chrUn_JH375371	JH375371.1
chrUn_JH375372	JH375372.1
chrUn_JH375373	JH375373.1
chrUn_JH375374	JH375374.1
chrUn_JH375375	JH375375.1
chrUn_JH375376	JH375376.1
chrUn_JH375377	JH375377.1
chrUn_JH375378	JH375378.1
chrUn_JH375379	JH375379.1
chrUn_JH375380	JH375380.1
chrUn_JH375381	JH375381.1
chrUn_JH375382	JH375382.1
chrUn_JH375383	JH375383.1
chrUn_JH375384	JH375384.1
chrUn_JH375385	JH375385.1
chrUn_JH375386	JH375386.1
chrUn_JH375387	JH375387.1
chrUn_JH375388	JH375388.1
chrUn_JH375389	JH375389.1
chrUn_JH375390	JH375390.1
chrUn_JH375391	JH375391.1
chrUn_JH375392	JH375392.1
chrUn_JH375393	JH375393.1
chrUn_JH375394	JH375394.1
chrUn_JH375395	JH375395.1
chrUn_JH375396	JH375396.1
chrUn_JH375397	JH375397.1
chrUn_JH375398	JH375398.1
chrUn_JH375399	JH375399.1
chrUn_JH375400	JH375400.1
chrUn_JH375401	JH375401.1
chrUn_JH375402	JH375402.1
chrUn_JH375403	JH375403.1
chrUn_JH375404	JH375404.1
chrUn_JH375405	JH375405.1
chrUn_JH375406	JH375406.1
chrUn_JH375407	JH375407.1
chrUn_JH375408	JH375408.1
chrUn_JH375409	JH375409.1
chrUn_JH375410	JH375410.1
chrUn_JH375411	JH375411.1
chrUn_JH375412	JH375412.1
chrUn_JH375413	JH375413.1
chrUn_JH375414	JH375414.1
chrUn_JH375415	JH375415.1
chrUn_JH375416	JH375416.1
chrUn_JH375417	JH375417.1
chrUn_JH375418	JH375418.1
chrUn_JH375419	JH375419.1
chrUn_JH375420	JH375420.1
chrUn_JH375421	JH375421.1
chrUn_JH375422	JH375422.1
chrUn_JH375423	JH375423.1
chrUn_JH375424	JH375424.1
chrUn_JH375425	JH375425.1
chrUn_JH375426	JH375426.1
chrUn_JH375427	JH375427.1
chrUn_JH375428	JH375428.1
chrUn_JH375429	JH375429.1
chrUn_JH375430	JH375430.1
chrUn_JH375431	JH375431.1
chrUn_JH375432	JH375432.1
chrUn_JH375433	JH375433.1
chrUn_JH375434	JH375434.1
chrUn_JH375435	JH375435.1
chrUn_JH375436	JH375436.1
chrUn_JH375437	JH375437.1
chrUn_JH375438	JH375438.1
chrUn_JH375439	JH375439.1
chrUn_JH375440	JH375440.1
chrUn_JH375441	JH375441.1
chrUn_JH375442	JH375442.1
chrUn_JH375443	JH375443.1
chrUn_JH375444	JH375444.1
chrUn_JH375445	JH375445.1
chrUn_JH375446	JH375446.1
chrUn_JH375447	JH375447.1
chrUn_JH375448	JH375448.1
chrUn_JH375449	JH375449.1
chrUn_JH375450	JH375450.1
chrUn_JH375451	JH375451.1
chrUn_JH375452	JH375452.1
chrUn_JH375453	JH375453.1
